NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
성수1가1동,11200650,dong,성동구,성수1가1동,8733.666667,8670.333333,3107.333333,1682.333333,1297.666667,1191.666667,235.3333333,1188.333333,1471.333333,2718,2976.333333,2882,3105.666667,1759.666667,912.6666667,338.3333333,15123.451,6053.255046,19,5.3,0,114907
성수1가2동,11200660,dong,성동구,성수1가2동,7942,7925,3057,1400.333333,1115.666667,873.3333333,216,1081,1138.666667,2541,2991,2574.333333,2525,1683,964.6666667,312.3333333,14657.05643,15320.41069,28,3.6,2,124328
성수2가1동,11200670,dong,성동구,성수2가1동,9395.666667,8653.666667,4138,1799.333333,1296.333333,982,219.6666667,1061,1257,2620.333333,2826.333333,2870.666667,3446.666667,2284,1202.333333,401.3333333,19341.29116,44936.91598,22,4.5,0,81475
성수2가3동,11200690,dong,성동구,성수2가3동,6027.666667,5641.666667,2941.333333,1087,786.3333333,661.3333333,171.3333333,723,681.6666667,1950,2154.666667,1682.333333,1995,1401.333333,780.3333333,264,11591.1403,47947.62182,52,5.8,1,113871
송정동,11200720,dong,성동구,송정동,6072.666667,5346.333333,2760.333333,1145.666667,809.6666667,610,154.3333333,683.3333333,783.6666667,1728.333333,1851.333333,1828,2164,1384.333333,706.6666667,257.6666667,14867.59848,2430.268189,6,0,0,92046
용답동,11200790,dong,성동구,용답동,8265.666667,7366,4030.666667,1214,762.6666667,608.6666667,133,682.6666667,1093,2446.666667,2333.666667,2628.333333,2896.666667,1894.666667,1212.333333,397.6666667,15478.93931,27552.9995,18,0,3,107836
광진구,11215,gu,광진구,계,174232.3333,183312.3333,74903,33501.33333,26612.33333,23248.33333,5146.666667,23917,30639,60661.33333,61189,58110.33333,56615.66667,37397.66667,20729.66667,7066.666667,342894.1367,77676.32713,414,6,9,121978
화양동,11215710,dong,광진구,화양동,10349,11270.66667,12872.66667,1966,742,579.6666667,105.6666667,599.3333333,872,8201.333333,4361.666667,2301,2153.333333,1669.333333,1049,337.3333333,20956.58392,6243.747643,65,7.7,1,165353
군자동,11215730,dong,광진구,군자동,9968,10181.33333,6080,2022.333333,1363.333333,1003.333333,231.6666667,1149.333333,1271,4083.333333,3818.333333,2920,3030,2130.333333,1289,393.6666667,20746.63546,6727.492922,27,3.7,0,110347
중곡1동,11215740,dong,광진구,중곡1동,7840,8039,3984.666667,1844.333333,1186,816.3333333,184.3333333,923.6666667,956.3333333,2554.333333,3141.333333,2399.666667,2620,1845,1104.333333,276.6666667,16256.80816,4352.977675,15,0,0,91230
중곡2동,11215750,dong,광진구,중곡2동,10964.66667,11580,4634,2403.333333,1743.333333,1355,315,1494,1726.333333,3728.666667,4145.666667,3433.333333,3821.333333,2429,1319.333333,381.6666667,22843.68593,3961.402845,30,3.3,0,87958
중곡3동,11215760,dong,광진구,중곡3동,8827,8912.666667,4058.333333,1903.666667,1302.666667,915.6666667,243,1018.666667,1280,2728.666667,3072.333333,2768,3200,2078.333333,1180.333333,347.3333333,17640.77334,2517.542575,21,0,1,99027
중곡4동,11215770,dong,광진구,중곡4동,15490,15847.33333,4941.333333,3146.333333,2547.333333,1980.666667,459.6666667,1967.333333,2653.666667,4701,4901.333333,5052,5585.333333,3737,2012.333333,607.3333333,32398.6577,2578.268524,25,0,0,114455
능동,11215780,dong,광진구,능동,5366.333333,6193.333333,3610,1301.333333,726.6666667,529.3333333,144.3333333,732,638.3333333,2200,2849.666667,1657,1420.333333,1084.666667,704,224,11471.17264,3310.654819,22,4.5,3,137075
광장동,11215810,dong,광진구,광장동,17680.66667,18683,2184.666667,1937.333333,3023.666667,3935.333333,714.3333333,3650.333333,5936,4207.666667,4259.333333,8230,5193.333333,2619.666667,1456,695,30753.28877,6813.662333,28,3.6,1,145578
자양1동,11215820,dong,광진구,자양1동,11459.33333,12067.33333,5738.666667,2433.333333,1677,1313.333333,307,1292.666667,1788.666667,4230.666667,4232.666667,3769,3759,2511.333333,1413.333333,455.3333333,20190.05608,8946.969624,24,8.3,0,117351
자양2동,11215830,dong,광진구,자양2동,13438,13877.66667,4038.333333,2527,2197.666667,1904,431,2111.666667,2315.333333,3991.333333,4694.333333,4497,4483.666667,3105.333333,1543.333333,497.6666667,28150.29008,5679.914355,20,5,1,96289
자양3동,11215840,dong,광진구,자양3동,14549,15582.33333,2912,2450.333333,2453,2555.666667,508.6666667,2786.333333,3068.666667,4224,4769.333333,5099.666667,4819,3070.666667,1482,701,33624.03752,3705.976472,28,10.7,1,135911
자양4동,11215847,dong,광진구,자양4동,10559.33333,10366.66667,5044.333333,2015.666667,1339.333333,922,236.6666667,981.3333333,1219.666667,3104.666667,3342.333333,3160.666667,3955.666667,2900,1627.333333,548.3333333,20660.72445,2959.034248,34,8.8,0,143823
구의1동,11215850,dong,광진구,구의1동,10873.33333,11799.33333,6544.666667,2394.333333,1563.333333,1101,279,1160.333333,1578.333333,4434.666667,4531,3544,3383,2168.666667,1360,447,22736.34728,4680.714886,28,10.7,0,107625
구의2동,11215860,dong,광진구,구의2동,12415.66667,13113.33333,4178,2594.666667,2275.666667,1965,458.6666667,1832.666667,2422,3446.666667,4018.333333,4301.333333,4198.666667,3032.666667,1644.666667,538.6666667,26446.59783,3304.933018,16,12.5,0,151408
구의3동,11215870,dong,광진구,구의3동,14452,15798.33333,4081.333333,2561.333333,2471.333333,2372,527.6666667,2217.333333,2912.666667,4824.333333,5051.333333,4977.666667,4993,3015.666667,1544.666667,615.6666667,19857.42494,9551.99244,31,6.5,1,117932
동대문구,11230,gu,동대문구,계,174763.6667,175012,76426,33563,26152,21625,5377,23317.66667,27786.33333,54121,52801.33333,55332.66667,55859,42546.66667,27076.66667,9372.333333,343354.1182,89914.91045,395,4.3,7,110071
용신동,11230536,dong,동대문구,용신동,16079,15054,10594,3138.333333,1915.666667,1442.333333,353.3333333,1624.666667,1818.666667,5166.333333,5233,4648.333333,5115.666667,3799,2641,932,31448.60574,28397.16087,62,8.1,2,99452
제기동,11230545,dong,동대문구,제기동,12950.33333,12377.66667,6961.333333,2593.333333,1697.333333,1247.666667,369,1324,1624.666667,4030.666667,3644.666667,3565.666667,4053.666667,3571,2434,931.6666667,25397.54721,5880.813907,26,3.8,1,129842
전농1동,11230560,dong,동대문구,전농1동,14904.33333,14491,7357,3004.333333,2382.666667,1773.666667,435,1921.333333,2277.333333,4298.666667,4216.333333,4533.333333,4956,3731.666667,2483.666667,820.3333333,30061.71909,2855.81636,29,3.4,0,94184
전농2동,11230570,dong,동대문구,전농2동,9692,10366,2257.666667,1845.333333,1694,1431,383.6666667,1555,2034.333333,2471,2654,3499,3308.333333,2355,1539,574,17724.1992,2953.887502,15,0,0,100547
답십리1동,11230600,dong,동대문구,답십리1동,12080.33333,12637,4918,2646.666667,2432.333333,2058.333333,496.6666667,2151.666667,1935.333333,3514,4379,4045.666667,3842.666667,2561.333333,1604,572.6666667,25207.76562,4878.423587,34,0,0,150329
답십리2동,11230610,dong,동대문구,답십리2동,14438.33333,14952.66667,4611.333333,3175,2492,2097.333333,489.3333333,2029.333333,2502.666667,3845,4128.666667,4847.333333,5059,3716.666667,2334.333333,819,30059.69728,3865.41423,15,0,0,82414
장안1동,11230650,dong,동대문구,장안1동,19489.33333,19448.66667,7498,3865,3042.666667,2501.666667,616,2946.333333,2970.333333,5226.666667,6893.333333,6460.666667,6268,4804.666667,2490,728.6666667,35753.74518,12619.02294,54,7.4,0,98391
장안2동,11230660,dong,동대문구,장안2동,15657.66667,15405.33333,4653,3025.666667,2814,2477.333333,550.3333333,2896,2906,3627.333333,4947.333333,5663,4698.333333,3660.666667,1953.666667,596.6666667,29623.9363,6583.205144,33,3,0,96224
청량리동,11230705,dong,동대문구,청량리동,11177,11073,4999.666667,2327.666667,1551,1148,322,1123.666667,1466.333333,2710.666667,2840,3119.666667,4063,3490,2412.333333,877.6666667,22659.22874,5815.147078,17,0,1,88654
회기동,11230710,dong,동대문구,회기동,5000.333333,5350.666667,3885,887.3333333,574.3333333,482.6666667,138.6666667,590,783.6666667,2749.333333,1656,1402.333333,1227,924,699,260.6666667,9250.86083,3751.290039,26,0,0,134507
휘경1동,11230720,dong,동대문구,휘경1동,6579.666667,6487,4030,1348.333333,976.6666667,818,202.6666667,593.3333333,879.6666667,2724.333333,2004.333333,1883.333333,2001.333333,1540.666667,1001.333333,380,16143.43799,2052.614573,17,11.8,1,148726
휘경2동,11230730,dong,동대문구,휘경2동,12190,12552,5515.333333,2088.666667,1811,1609.333333,399,1661.333333,2396.333333,4860,3411,3860.666667,3607,2722.666667,1596,540.6666667,21634.12927,3499.753641,17,0,0,118081
이문1동,11230740,dong,동대문구,이문1동,13826.33333,13720.33333,6264.333333,1695.333333,1133,971.3333333,240,1291,2079.333333,5931,3826,4091.333333,4116.333333,3068.666667,2229.333333,787,29251.41635,6222.98797,36,2.8,1,126852
이문2동,11230750,dong,동대문구,이문2동,10699,11096.66667,2881.333333,1922,1635.333333,1566.333333,381.3333333,1610,2111.666667,2966,2967.666667,3712.333333,3542.666667,2600.666667,1659,551.3333333,21802.18075,962.1805187,14,14.3,1,92502
중랑구,11260,gu,중랑구,계,202764,204481.3333,75585,41822,31729.66667,25132.33333,6090.666667,27628.66667,32125,58138,63248.33333,64072,72354.33333,50803.66667,28186,9247.333333,414205.5413,52565.47979,293,3.4,11,93783
면목2동,11260520,dong,중랑구,면목2동,13370,13247.66667,5557.333333,2759.333333,1940.666667,1535.333333,367.6666667,1738.666667,2075,3589.666667,4067,4390,5014.666667,3231,1840.333333,585.6666667,26975.69391,2554.144362,22,4.5,0,75998
면목4동,11260540,dong,중랑구,면목4동,10333.66667,10456.33333,3939,2138.666667,1613.666667,1171.333333,285.3333333,1344,1609.666667,2991.666667,3224,3370,3440.666667,2701.333333,1637.666667,399.6666667,28518.44912,2406.428173,13,15.4,1,68950
면목5동,11260550,dong,중랑구,면목5동,5295.333333,5051.666667,1913.666667,1074,786,584,128.3333333,671,797,1449,1609.666667,1672.333333,1885.333333,1273.666667,735.6666667,223.6666667,11351.77524,1078.391607,6,0,0,70552
면목본동,11260565,dong,중랑구,면목본동,17980,18040.33333,8440,3973,2728.333333,1935.666667,460,1999.333333,2557.333333,5485,5928.666667,5817,6465,4408.333333,2492,757.3333333,43323.06693,2720.377772,28,3.6,1,97154
면목7동,11260570,dong,중랑구,면목7동,11122.66667,11200.66667,4349,2477.666667,1792,1373,307,1317,1513.333333,3226,3389.333333,3398.333333,4089.666667,3069.333333,1677,571,15630.35816,1051.041763,18,5.6,0,139059
면목3.8동,11260575,dong,중랑구,면목3.8동,13631,13524.33333,5592,2926.666667,2097,1507.333333,336.3333333,1438,1953.666667,3985,4031.666667,4299,4997.666667,3601.666667,2093.666667,666,29974.03601,3902.492065,20,0,1,86897
상봉1동,11260580,dong,중랑구,상봉1동,12583.33333,13149.66667,3175.333333,2378,2208.666667,2023.666667,391,2057.333333,2422,3851.333333,3834.333333,4039.666667,4621.666667,2790,1503,539.3333333,24195.34384,2958.156026,15,0,0,108716
상봉2동,11260590,dong,중랑구,상봉2동,9100,9303.666667,6585,2259.666667,1296,845,168.3333333,900.6666667,1028.666667,3134.666667,3637.333333,2723.666667,3105.666667,2211,1234.333333,373.6666667,18046.55906,7883.567454,33,0,2,98433
중화1동,11260600,dong,중랑구,중화1동,10399,10598.33333,3250.333333,2240.666667,1772.333333,1353.666667,335.6666667,1596.333333,1541.333333,3175.666667,3544.666667,2953.333333,3685.333333,2621,1356.666667,454.3333333,22860.56851,1850.444674,17,0,1,85220
