임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
7418,-2.667,-61,4.667,16,-18,82,37.333,49.333,33,-414,-120.333,179.333,208,177.966,-20516.4,31,1,-1,0,-1,0,0,-1,0,2,0
438,11.667,-27,65.333,12.667,-54.333,-0.333,57,32.667,0.3333,-191.333,-38.333,83.667,137.6667,56.28995,34256.49,11,1,0,0,0,0,0,0,0,0,0
-7701,-61,-35.333,-13.333,-14,-22.333,-9.333,96.333,35.667,29.6667,-396.333,-324.333,-10.333,294.333,394.2272,-9689.89,20,0,0,0,0,-1,0,0,0,0,15
-12155,-62,-88.667,11,-15.667,-32.333,-50,52.667,46.667,6,-293.667,-103.667,56.333,220,202.2648,-2083.84,9,-3,0,0,0,0,0,0,0,1,0
5410,11.6667,26.333,138.667,120.333,63.333,103.667,35.333,5.667,18.3333,-226.333,-68.333,4.667,110.3333,15.85058,956.6277,18,-1,0,0,0,0,0,0,0,0,5.6
1924,-29.333,12.333,346.333,42,-20,52,49,-10.333,25,-27,52,196.333,222,-367.118,14701.61,36,4,0,0,0,0,0,-1,2,2,5.6
-1045,-6.6667,-20,617.667,93,-9,15.333,10.333,14.667,27.6667,-390,-42.667,35.6667,85,82.03686,-11903.2,41,4,-1,0,0,-1,0,-1,1,0,4.9
45469,-11.333,-32.667,28.333,1.333,-29.333,-6,17.333,19.667,15.6667,-21,-89.333,79.333,120.333,-18.0497,19954.62,7,0,0,0,0,0,0,0,0,0,0
11872,-52,-21.667,-12,-2.667,-19.667,42.667,22.667,25,24,-140.333,-114,-31,115.667,52.11538,10491.5,4,1,0,0,0,0,0,0,0,0,0
26312,37.3333,97.667,1505,239.333,50.667,66.667,15.667,10.6667,-10.6667,-619.333,-65,23.6667,81,1708.568,-13486.8,49,1,-2,0,0,0,3,1,0,1,6.1
2896,22,-19.333,134.667,33.333,47.667,67,42,3.667,-2.3333,-168,-9.667,49,147.333,118.874,-5452.2,19,1,0,0,0,0,0,0,0,1,0
29186,-19.667,2.37E+01,338.667,89,-1.667,9,18,21.667,3.6667,-202.333,-164,-95,-7.667,10.1773,-1654.98,11,2,0,0,0,0,0,0,1,1,18.2
19237,-49.333,-8.333,110.333,2,-28,50.667,4.333,23.333,13.6667,-168.333,-129.667,65,141.667,66.26876,2534.677,15,0,0,0,0,0,0,1,0,0,0
12098,6,86,1071,63.333,-6.333,5,33,0.333,20.3333,-374.667,-69.333,108,86.3333,3.497543,63694.27,13,0,0,0,0,0,0,0,0,0,0
-31462,-35.333,-7.667,169.667,18,-1.667,27.667,45.333,40.333,15.6667,-142.333,-112.333,154.667,154.667,26.96672,7768.33,15,0,0,0,0,0,0,0,0,1,0
-45862,-17.333,5.43E+01,39.333,-1,86,76,-14.333,-3.333,23,20,-47.667,-12,143.333,14.11356,-16457.4,6,1,0,0,0,0,0,0,0,1,16.7
-81782,-9,-32,60.667,-13,-50,-34.333,-18,-13.3333,-1,-469.667,-503.333,-555.333,-397.667,-28.7493,4379.112,7,0,0,0,0,0,0,0,0,0,14.3
-14080,-3.333,86,1256,211.333,-36,64.333,37.333,45.333,38,-409.333,-177.667,112,195,162.1487,-11889.7,28,1,-1,0,0,0,0,0,0,1,10.7
18816,-62,14,77,-10.667,18,54.667,11.667,24.333,12.6667,-157.333,-124.667,-24.333,187,73.13335,-8606,16,2,1,0,0,0,0,-1,0,0,0
4188,44.667,15.667,332.667,194,25,38.667,56.667,29,9.3333,-582,-141.667,48.333,113.667,164.6034,11302.86,25,0,0,0,0,-1,0,0,0,2,8
2003,-16.333,-32.667,71,42,-41.333,25.333,64.667,9,29.6667,-244.333,-38.667,34,148.667,28.39872,14583.08,11,0,-1,0,0,1,-1,-1,0,0,0
-2374,-49.6667,-105,-47.333,-100.667,-172.667,-103.667,-101.667,-43.333,-10,219.333,176,265.667,253.6667,-80.5307,-3053.41,11,2,0,0,0,-1,0,-1,0,1,9.1
-2641,9.3333,-35.667,76.667,22,-54.667,-1,-5.667,-23,-5.3333,-664.333,-528,-650.333,-510.667,-18.612,25113.36,5,3,0,0,0,0,0,0,0,0,0
-12449,4,-7,353.667,78.667,30,36,87.333,33.667,4.6667,-899.667,-553.333,-249.667,17,270.1642,-11202.3,24,3,-1,0,0,-1,-2,0,0,0,8.3
1333,-102.333,-64.333,24.667,-58,-130.333,-25.667,16.333,3.333,-0.6667,156.333,117.667,288,283,-34.1445,-8173.67,14,1,0,0,0,0,0,0,0,3,0
9554,-23.333,-22.333,156.333,17.333,9.333,45,69.333,8,37.6667,-482.667,-32.667,65.333,128,111.3117,3246.691,32,0,-1,0,0,-1,0,0,0,1,0
4638,-21.667,-10,177,30.667,-23.667,97.667,7,36.333,32,-445.333,-335.667,-141,3.667,94.0128,-11920,25,1,-1,0,0,0,0,-2,0,1,8
1379,-25.333,-19.667,71.667,51,-19,87.667,48,15,44.3333,-255.333,-162,117.333,198.333,76.59154,-788.025,27,0,0,0,0,0,-1,0,0,0,3.7
-5717,-62.333,-10.667,31.333,-14,-36.333,98.333,16.333,23.667,18,-49,-109,-10,251,17.47185,-8703.32,8,0,0,0,0,0,0,0,0,0,0
