NM,CD,GUBUN,2018년2분기길단위생존인구,2018년2분기건물단위생존인구,2018년2분기주거인구,2018년2분기직장인구,2019년2분기길단위생존인구,2019년2분기건물단위생존인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기길단위생존인구,2020년2분기건물단위생존인구,2020년2분기주거인구,2020년2분기직장인구
자양3동,11215840,dong,71531.60459,102203.8443,270.6071618,26.30042187,67769.58805,98666.73603,269.8302824,32.08773674,76055.0502,108222.7821,263.7199952,28.51758322
자양4동,11215847,dong,62797.83183,103819.4489,163.2831803,25.20420192,64256.33239,103448.52,187.1901711,12.2407972,65804.6017,99586.89051,152.3308881,10.92617389
구의1동,11215850,dong,125897.2871,214562.8697,409.1159747,82.62595033,126338.3144,215541.9044,407.1633264,67.69180701,135343.1508,220293.0777,401.2149812,65.59451812
구의2동,11215860,dong,49533.22404,82832.9939,186.9493941,24.15040999,47302.42706,80851.24484,184.5152909,28.90864195,47602.78954,84464.32169,201.5320187,30.82219902
구의3동,11215870,dong,45112.93554,100026.9165,204.1650074,93.88770478,45216.08065,102741.6935,210.1486206,99.2660789,44213.38527,101086.4692,204.7496133,88.99764851
동대문구,11230,gu,73330.38135,124955.7544,236.5285892,63.48954284,68814.95644,119428.0949,236.5588895,56.5604059,68959.31002,117878.0242,235.118246,55.33255347
용신동,11230536,dong,75969.80961,138544.7806,191.5297676,178.0645989,71942.47318,128507.658,190.1656492,150.8199483,74431.17834,129813.8301,190.5051073,150.2353261
제기동,11230545,dong,89912.36044,149096.6846,203.8818318,51.31438246,91004.555,153221.8107,206.6332279,44.56249003,77333.79584,130584.0387,209.6209403,46.24202327
전농1동,11230560,dong,109505.8966,150429.2316,257.4244404,24.18258819,102205.8677,142068.1995,271.8217608,15.74761725,103264.2899,137017.9231,272.7073451,13.27499584
전농2동,11230570,dong,27428.18429,76867.62204,201.8057103,33.65630921,25903.99362,73268.94756,201.5007603,48.03978174,26769.78719,77027.37363,198.9493458,40.79213798
답십리1동,11230600,dong,86231.07154,149244.0083,316.4088785,60.87172316,84699.54281,149886.2252,323.5793814,90.53207279,91416.34731,160771.3528,354.7549621,94.40963257
답십리2동,11230610,dong,61722.3739,117453.0509,328.4393425,45.31594157,66394.3579,127191.5227,331.5806588,32.06351349,74495.33404,140653.4131,354.6006172,32.61569799
장안1동,11230650,dong,65460.73906,117604.5605,282.1044925,103.3265777,68190.18971,123566.0035,276.561789,81.17046606,69202.50495,125935.338,281.2076625,79.1562741
장안2동,11230660,dong,70235.41277,128629.2054,270.4928723,61.37008034,63225.95803,114299.0082,270.9573911,61.36114729,66269.99441,118467.8649,278.3450267,56.31397183
청량리동,11230705,dong,53095.73227,87915.95524,181.8026923,47.96677822,47247.16797,82940.62409,180.4830421,45.53628328,47461.26033,81589.79752,177.4845964,41.00102983
회기동,11230710,dong,67234.32421,143079.6375,121.2275388,49.46758746,60728.49854,135692.2601,122.6863685,10.23592049,58932.28137,124242.3145,120.8417327,9.452251661
휘경1동,11230720,dong,112834.6207,164661.1574,250.9174277,33.40821492,104880.7152,155081.2045,252.1291246,30.19625643,105739.1736,158390.5959,241.3200188,29.63849119
휘경2동,11230730,dong,48506.03477,86100.81286,202.047889,33.32270606,44544.73184,80112.35714,201.8160212,38.75503588,46353.20909,82415.85909,201.5675915,36.4529205
이문1동,11230740,dong,107378.8323,148930.1767,270.865216,54.6676261,87802.74453,123542.9447,253.9196708,40.44836778,82890.24922,110882.587,190.1205039,40.09364643
이문2동,11230750,dong,75618.34623,121739.3396,310.6477531,14.28825042,63607.72596,111273.5204,308.3856854,24.12394986,61761.26309,104713.1249,295.5148065,31.64031406
중랑구,11260,gu,52906.51943,90469.05021,219.4898885,29.07266356,51159.60334,86969.44271,220.3423454,22.48320977,53239.35055,89792.44225,216.6574787,21.50170869
면목2동,11260520,dong,82096.28236,140261.3145,350.8247814,35.95718511,79759.60361,133128.4741,351.3092345,23.15954924,86968.70971,146038.9677,345.0113443,20.07788929
면목4동,11260540,dong,68699.84986,94947.5606,251.6054616,21.80361658,68620.70224,95267.7152,249.0868519,18.42113588,70476.39442,93054.24209,241.0321676,19.75952752
면목5동,11260550,dong,46262.92894,70425.82796,169.6479273,17.86390309,40170.89857,62173.5403,167.6367594,21.58202861,37650.9728,58417.32359,164.2904464,18.25261621
면목본동,11260565,dong,132075.3903,189250.7705,422.4365614,28.89654443,130246.1795,183609.6027,423.9467923,23.12912712,127060.1869,186189.6204,420.2128355,20.97675077
면목7동,11260570,dong,48720.32666,66478.22147,183.9911334,12.38857557,48043.07067,67501.10167,182.6525021,11.43241034,54463.41255,77449.4961,177.5806692,11.72341715
면목3.8동,11260575,dong,41937.71409,70618.55045,162.9364256,21.81578203,37468.82248,62683.65677,163.0118475,24.18528645,37791.30134,63034.07819,164.9413909,21.74036014
상봉1동,11260580,dong,65650.46833,116024.2925,278.1748225,34.19127708,62572.44658,108036.7355,289.3938353,26.55929559,63722.72793,105731.2512,273.4975082,27.19165977
상봉2동,11260590,dong,95944.67906,192870.1462,278.0007618,114.8422361,93963.87811,185235.8554,283.5850565,84.3410608,90242.932,175667.7536,289.3514479,80.85087657
중화1동,11260600,dong,80636.51016,119756.3454,325.7800816,28.6248311,87666.43283,127861.5279,335.4158526,24.56023063,93233.4446,132491.1034,324.650154,30.75913868
중화2동,11260610,dong,73538.26835,131253.5749,292.2734438,45.62672714,71171.95716,128703.8179,291.5133455,16.39938276,80160.63065,136240.4064,280.4763005,15.95165358
묵1동,11260620,dong,61001.98161,111972.8398,304.7130471,26.25817613,59689.72292,108012.6889,307.7356925,25.36320292,57946.20536,103560.4528,302.6866927,21.98594554
묵2동,11260630,dong,82395.77422,128043.7182,293.3116326,27.28718998,77779.12185,117984.8044,290.9069582,32.62439425,78735.28786,120115.0072,288.1650428,30.23438245
망우본동,11260655,dong,28981.08298,46087.83883,101.8328349,18.68772858,29062.08808,45456.31036,101.1693653,12.2904501,31104.63144,48694.10234,100.079844,11.14238742
망우3동,11260660,dong,41538.60229,61255.18969,188.1397231,17.54344251,39301.27063,59284.57118,187.0025524,13.07746303,43540.19847,63601.79259,181.6268364,11.12359702
신내1동,11260680,dong,23147.24578,56815.54145,170.1413059,28.06471992,19932.45498,52945.29615,171.3099636,18.07608469,22477.7574,59158.2616,171.983212,17.93635389
신내2동,11260690,dong,30315.20881,93812.91301,240.4555215,45.80966589,29307.26847,89808.38173,238.0825702,40.0315826,30718.28066,94736.28253,232.8791029,40.18055712
성북구,11290,gu,45529.30921,85349.91514,177.0590911,27.14292139,43279.2458,81264.63931,176.0730905,38.33350212,44672.54347,82564.31235,170.6456387,44.79305959
성북동,11290525,dong,6536.492191,22869.05199,41.80418831,9.992188814,5885.105803,20921.47232,42.83437808,74.60725645,6397.217705,22776.05572,41.95089255,70.70166356
삼선동,11290555,dong,92517.49202,163131.1363,309.3164253,72.8717303,91242.34286,160593.7827,309.4607594,60.83256992,84215.19193,146137.8222,298.2876035,72.07364774
동선동,11290575,dong,124635.6582,198601.7504,217.3579362,85.23007598,116259.703,187207.7938,216.7549255,171.6113541,106286.6877,169633.695,213.685053,184.3705117
돈암1동,11290580,dong,66588.08285,150014.4281,344.5264711,20.51990995,66570.18481,151012.9507,343.0746929,55.08089872,58741.69832,137555.0991,338.502675,50.42220744
돈암2동,11290590,dong,44300.1701,113232.7275,454.1034828,17.10639017,40297.37131,110418.839,454.9961999,65.96455672,67548.04386,156144.3338,451.5942239,18.96420687
안암동,11290600,dong,43264.39987,115040.2915,115.9416262,74.16002538,42306.43392,108427.6802,116.1114701,41.98232543,36302.83786,95703.72012,48.5213158,36.29255458
보문동,11290610,dong,109248.9822,191396.9697,306.1839136,65.15207594,88279.32116,154520.6803,305.2041831,129.161133,89615.18365,155242.5822,272.2924967,126.1312258
정릉1동,11290620,dong,134720.1662,220998.6868,436.278303,24.22366518,115857.4589,183202.4344,432.8718501,40.75127006,116103.9431,192383.8349,425.4701746,31.75150557
정릉2동,11290630,dong,39583.12987,80754.39299,210.1943351,13.1816641,42341.68487,86956.95028,211.0181892,17.32667957,44167.81734,89391.30619,207.0533917,15.1640628
정릉3동,11290640,dong,8163.287175,20757.68338,48.86190016,9.003109137,7855.286569,19608.54503,48.88389729,7.805837031,7983.463818,17614.76768,48.81476346,7.651857154
정릉4동,11290650,dong,9381.491123,24507.06549,72.33576373,7.643623524,9319.162879,23786.85046,72.12306692,5.734736917,9602.932739,24265.70754,70.75265326,6.453598305
길음1동,11290660,dong,86382.53845,200812.0307,465.1107264,28.42608621,81464.94492,190405.5949,464.8852279,27.92203055,88669.43897,214068.769,456.7540142,79.20306147
길음2동,11290685,dong,56466.38956,97183.54447,181.3469668,26.62493538,79452.06449,143994.6875,179.2226369,10.2439911,92621.54118,159228.745,293.5823992,9.512277447
종암동,11290705,dong,67637.47619,130776.2492,274.019069,26.06583228,61156.12938,118659.5513,273.3165761,43.64153593,65630.29337,122694.0887,269.6033993,148.1457198
월곡1동,11290715,dong,55391.00895,113523.7553,326.1759509,38.71101453,60369.82203,119943.1223,324.4009694,31.01600767,71179.08025,129280.1017,321.3332266,29.88740666
월곡2동,11290725,dong,55148.51589,96151.26467,152.560313,40.5118521,51471.21396,89884.15933,152.0867099,36.52757272,54869.81931,91920.02236,149.7487649,36.27197744
장위1동,11290760,dong,99159.14614,115899.033,291.2337494,13.19211383,104481.8353,124936.508,292.0031728,18.20036065,101218.6547,116233.2616,285.0643728,18.52211952
장위2동,11290770,dong,81736.26258,117588.4944,247.7045662,30.12207134,70015.18563,101366.3111,222.7567485,33.25887099,77702.01576,110872.8586,201.048336,25.59276718
장위3동,11290780,dong,49465.63102,77938.36356,177.5452906,24.5347367,36190.89171,50448.05312,176.0382428,20.29993263,45378.36693,67268.20838,170.9745625,18.00922012
석관동,11290810,dong,52140.06527,76029.98467,186.7488117,28.45347178,47689.49578,72641.73403,184.8770953,22.25200181,48999.20114,74584.08573,184.3302384,21.03989631
강북구,11305,gu,37032.21181,62199.7661,135.8295018,15.36911712,35194.8094,58928.10779,135.2976501,12.34090516,36384.07036,61621.19534,132.9142607,11.95121909
삼양동,11305534,dong,91392.91115,135574.5484,294.7102041,15.58182752,86689.10658,130434.2929,279.5869721,13.02828388,83623.8328,128842.0027,266.8609444,11.32939566
미아동,11305535,dong,65316.52009,137372.9501,271.3131903,32.23250492,59587.04572,125010.9446,272.6537178,22.9325954,62877.17896,133305.6387,267.9977786,22.16657969
송중동,11305545,dong,101220.5905,164281.3443,271.6611447,32.45888495,91234.59885,147960.3403,267.8364891,22.39497173,98864.28924,161232.6393,278.4902287,20.7268689
송천동,11305555,dong,121691.8219,152211.8699,310.1795646,37.17544202,119689.7558,151517.8755,315.285667,23.31140438,122087.0817,152571.5254,303.4899241,20.46749923
삼각산동,11305575,dong,58425.95847,188428.6207,551.2916573,21.234766,53870.24746,174805.6568,549.0538014,19.7925922,52263.9808,193826.8238,538.4944369,21.48341666
