name,code,type,parent,male,female,onehouse,convnum,rent
여의동,11560540,dong,영등포구,"16,075","18,011",3932,97,225105
당산1동,11560550,dong,영등포구,"10,330","10,625",5273,33,93185
당산2동,11560560,dong,영등포구,"16,831","18,919",8541,38,135625
도림동,11560585,dong,영등포구,"9,523","9,339",4388,11,81208
문래동,11560605,dong,영등포구,"15,742","16,088",3633,39,98580
양평1동,11560610,dong,영등포구,"8,931","8,965",4271,18,91690
양평2동,11560620,dong,영등포구,"11,350","11,329",4158,37,105773
신길1동,11560630,dong,영등포구,"8,869","8,624",5918,16,88591
신길3동,11560650,dong,영등포구,"8,590","8,679",2934,10,123715
신길4동,11560660,dong,영등포구,"4,557","4,514",1875,5,70967
신길5동,11560670,dong,영등포구,"4,539","4,815",1795,7,76080
신길6동,11560680,dong,영등포구,"9,058","9,303",3630,13,96695
신길7동,11560690,dong,영등포구,"8,486","8,499",1920,13,106559
대림1동,11560700,dong,영등포구,"6,532","6,519",2998,15,112057
대림2동,11560710,dong,영등포구,"6,253","6,611",3615,19,126878
대림3동,11560720,dong,영등포구,"12,140","11,993",3994,29,97682
동작구,11590,gu,동작구,"193,449","205,436",76209,340,130395
노량진1동,11590510,dong,동작구,"16,019","16,247",6588,43,141025
노량진2동,11590520,dong,동작구,"6,688","6,355",4096,19,164676
상도1동,11590530,dong,동작구,"22,491","23,713",9694,48,148106
상도2동,11590540,dong,동작구,"13,943","15,082",5123,19,146064
상도3동,11590550,dong,동작구,"12,339","13,381",5028,12,134293
상도4동,11590560,dong,동작구,"14,643","15,189",5374,14,88902
흑석동,11590605,dong,동작구,"16,023","16,830",5509,28,117570
사당1동,11590620,dong,동작구,"11,261","12,320",7407,28,117786
사당2동,11590630,dong,동작구,"13,562","14,513",4150,27,152933
사당3동,11590640,dong,동작구,"12,757","13,488",3467,13,135543
사당4동,11590650,dong,동작구,"7,098","7,738",3060,9,102743
사당5동,11590651,dong,동작구,"6,284","6,676",2249,6,69552
대방동,11590660,dong,동작구,"18,906","20,831",6844,36,120680
신대방1동,11590670,dong,동작구,"11,543","12,423",3515,10,121534
신대방2동,11590680,dong,동작구,"9,892","10,650",4105,28,148477
관악구,11620,gu,관악구,"251,875","250,214",148296,475,129783
보라매동,11620525,dong,관악구,"12,345","12,916",5732,21,110564
청림동,11620545,dong,관악구,"7,984","8,263",1966,7, 
성현동,11620565,dong,관악구,"15,778","16,713",3920,10,84944
행운동,11620575,dong,관악구,"14,662","15,352",10475,36,116881
낙성대동,11620585,dong,관악구,"8,516","8,480",7493,26,158253
청룡동,11620595,dong,관악구,"14,214","15,348",14014,42,145424
은천동,11620605,dong,관악구,"17,204","17,841",6604,24,125185
중앙동,11620615,dong,관악구,"7,406","8,031",5926,19,146400
인헌동,11620625,dong,관악구,"13,155","13,739",7568,22,120228
남현동,11620630,dong,관악구,"9,066","9,829",4625,20,212269
서원동,11620645,dong,관악구,"11,913","11,420",8566,28,173563
신원동,11620655,dong,관악구,"9,351","9,401",5945,10,164874
서림동,11620665,dong,관악구,"13,298","10,802",9098,25,103531
신사동,11620685,dong,관악구,"11,614","11,493",8038,25,99350
신림동,11620695,dong,관악구,"10,953","10,815",13469,39,197512
난향동,11620715,dong,관악구,"8,130","8,290",1905,4,78648
조원동,11620725,dong,관악구,"8,843","8,655",6278,22,96721
대학동,11620735,dong,관악구,"14,304","9,470",11667,43,125414
삼성동,11620745,dong,관악구,"12,830","12,671",4625,9,78878
미성동,11620765,dong,관악구,"15,827","16,450",5405,21,100013
난곡동,11620775,dong,관악구,"14,482","14,235",4977,22,109023
서초구,11650,gu,서초구,"206,478","224,882",57802,526,136653
서초1동,11650510,dong,서초구,"10,292","11,013",3827,34,132931
서초2동,11650520,dong,서초구,"8,721","9,519",3640,40,159087
서초3동,11650530,dong,서초구,"14,985","15,599",5587,81,121117
서초4동,11650531,dong,서초구,"15,298","16,301",2380,35,139766
잠원동,11650540,dong,서초구,"16,353","18,005",4692,32,155668
반포본동,11650550,dong,서초구,"5,776","6,490",740,8,143968
반포1동,11650560,dong,서초구,"15,814","17,058",6316,29,172872
반포2동,11650570,dong,서초구,"7,732","8,512",738,7, 
반포3동,11650580,dong,서초구,"9,545","10,661",1288,9,227111
반포4동,11650581,dong,서초구,"9,349","10,468",1904,40,224702
방배본동,11650590,dong,서초구,"9,935","11,421",2086,20,129364
방배1동,11650600,dong,서초구,"8,223","9,243",2881,18,121183
방배2동,11650610,dong,서초구,"10,005","11,175",3133,25,138448
방배3동,11650620,dong,서초구,"10,838","11,593",2272,18,134998
방배4동,11650621,dong,서초구,"11,027","12,958",3402,25,115970
양재1동,11650651,dong,서초구,"21,922","23,915",5908,46,120974
양재2동,11650652,dong,서초구,"11,635","11,492",4936,46,91743
내곡동,11650660,dong,서초구,"9,028","9,459",2072,13,87352
강남구,11680,gu,강남구,"259,645","282,853",90342,976,164009
신사동,11680510,dong,강남구,"8,068","9,307",2943,44,189594
논현1동,11680521,dong,강남구,"10,751","12,430",9268,80,164930
논현2동,11680531,dong,강남구,"10,196","11,607",6126,77,139437
압구정동,11680545,dong,강남구,"12,748","14,963",3036,57,197817
청담동,11680565,dong,강남구,"14,047","15,860",4663,55,168623
삼성1동,11680580,dong,강남구,"7,340","7,405",1974,55,173572
삼성2동,11680590,dong,강남구,"14,337","15,742",5621,51,155942
대치1동,11680600,dong,강남구,"12,656","12,578",573,23,279105
대치2동,11680610,dong,강남구,"19,679","19,151",2427,49,157488
대치4동,11680630,dong,강남구,"9,751","10,810",5285,61,178629
역삼1동,11680640,dong,강남구,"17,430","18,611",16463,200,157738
역삼2동,11680650,dong,강남구,"17,239","19,403",6216,54,152412
도곡1동,11680655,dong,강남구,"10,639","11,899",2500,29,183753
도곡2동,11680656,dong,강남구,"15,941","18,298",2223,25,180024
개포1동,11680660,dong,강남구,"3,402","3,649",880,2,132795
개포2동,11680670,dong,강남구,"8,788","9,368",1458,11,168681
개포4동,11680690,dong,강남구,"9,031","9,364",2928,32,86258
세곡동,11680700,dong,강남구,"21,443","23,516",5738,22,155771
일원본동,11680720,dong,강남구,"12,011","12,438",1491,10,142033
