code,profitscore,stablescore,profit2018,profit2019,expectedprofit2020,survive2018,survive2019,expectedsurvive2020
11560720,0.351655,0.136247,93676970,68132912,52997470,100,100,98.90847
11560,0,0,64128849.06,52373549.28,52259522.22,95.57222222,95.60555556,98.90212111
11590510,-0.00545,-0.67379,69664467,55422041,50208500,100,97.7,97.98017
11590520,-0.30642,0.515075,59273848,57553088,47857950,95.5,94.7,99.3426
11590530,1.595248,-0.98957,85563504,76731905,62709827,97.9,93.7,97.61829
11590540,-0.55647,0.243238,45364900,40798454,45905075,90.9,94.7,99.03108
11590550,0.801481,0.704445,49104746,41763163,56510572,100,91.7,99.55962
11590560,0.159944,0.789963,45993057,43940557,51500230,100,92.9,99.65762
11590605,1.07787,0.3806,75952356,50732573,58669147,100,96.4,99.18849
11590620,0.453103,-0.2363,55843880,53045285,53789770,90,96.4,98.48153
11590630,0.538925,-0.07342,41502331,18857144,54460034,100,85.2,98.66819
11590640,-0.3323,1.088726,39112200,27751957,47655845,92.3,100,100
11590650,0.444814,0.661115,39239063,37361375,53725040,100,88.9,99.50996
11590651,-0.2652,0.883223,56112305,69443463,48179920,100,100,99.7645
11590660,0.834378,-1.69787,54508653,40413518,56767500,91.7,97.2,96.80658
11590670,0.356627,0.495938,65767452,41607918,53036300,100,100,99.32067
11590680,0.496253,0.166578,66951518,69217908,54126773,100,92.9,98.94322
11590,0,0,56663618.67,48309356.6,53006832.2,97.22,94.82666667,98.92483467
11620525,0.289346,0.625661,41224993,24395868,52510843,93.7,100,99.46933
11620545,-0.90251,1.088726,1.09E+08,90845370,43202520,100,100,100
11620565,-0.65075,0.550756,69902591,65243423,45168753,100,100,99.38349
11620575,1.206923,-0.54153,50959433,37166411,59677040,97.1,100,98.13174
11620585,1.138013,0.021166,69252094,47211382,59138856,100,100,98.77658
11620595,2.361944,-1.39411,54935888,51006535,68697653,93,97.6,97.15468
11620605,0.156108,0.021868,61942120,57479477,51470270,100,95.8,98.77739
11620615,0.634208,-0.00409,70954996,66967525,55204186,95,94.7,98.74764
11620625,0.754858,-0.3787,66230322,40883169,56146450,100,100,98.31833
11620630,0.713544,0.448789,76561075,61293599,55823793,100,100,99.26664
11620645,1.309823,-0.11431,95251328,64880734,60480680,100,100,98.62132
11620655,0.420073,0.645837,77780158,78108635,53531814,90,100,99.49245
11620665,0.89999,0.024673,60213807,50271031,57279920,95.5,100,98.7806
11620685,1.453329,-0.11421,60928554,68248630,61601450,96.3,100,98.62145
11620695,2.647158,-1.43179,76886596,84535644,70925150,95.5,89.7,97.1115
11620715,-0.32683,1.074465,72696272,68644786,47698574,100,100,99.98366
11620725,0.126719,0.093407,50428307,43485780,51240745,91.3,100,98.85937
11620735,2.194094,-0.95846,44896461,29604459,67386760,95.3,97.7,97.65394
11620745,-1.20316,0.911422,60162095,43582362,40854487,100,100,99.79681
11620765,-0.1821,0.463024,45006796,29408192,48828864,90.5,100,99.28295
11620775,-0.3153,0.009619,39418135,27230137,47788590,90.5,100,98.76335
11620,0,0,64506286.71,53833007.1,54983685.62,96.36666667,98.83333333,98.80920095
11650510,0.81806,-0.1051,72176627,60032255,56640053,91.4,91.2,98.63188
11650520,1.65445,-0.36001,85166789,68593992,63172183,95.5,100,98.33975
11650530,1.520942,-1.7676,65642910,61227717,62129500,96.5,95.1,96.72667
