code,name,parent,parentname,male2018,male2019,male2020,female2018,female2019,female2020,onehouse2018,onehouse2019,onehouse2020,convnum2018,convnum2019,convnum2020,rent2018,rent2019,rent2020
11290600,안암동,11290,성북구,7756,7789,7770,7512,7571,7586,5404,5838,6217,49,49,47,131905,125533,134392
11290610,보문동,11290,성북구,8239,7997,7788,8719,8512,8320,3647,3764,3825,19,18,17,96817,94935,90104
11290620,정릉1동,11290,성북구,8808,9199,9114,9406,9760,9772,1999,2181,2249,11,14,15,107330,82374,99725
11290630,정릉2동,11290,성북구,11810,11656,11386,12276,12143,12094,2893,3007,3087,15,14,16,115222,146211,91397
11290640,정릉3동,11290,성북구,7998,7945,7719,8021,7932,7835,3663,3969,4216,13,15,15,101198,98705,80501
11290650,정릉4동,11290,성북구,13187,12926,12481,13849,13703,13332,3546,3603,3778,15,15,18,91713,137973,107430
11290660,길음1동,11290,성북구,18051,17694,17387,19621,19415,19146,2555,2547,2554,6,6,7,111214,139858,164501
11290685,길음2동,11290,성북구,5751,7866,8326,6043,8262,8885,1905,2301,2405,7,5,8,86189,147536,140956
11290705,종암동,11290,성북구,20345,20080,19688,20662,20527,20261,6038,6296,6612,28,27,27,83610,92412,96620
11290715,월곡1동,11290,성북구,13549,13322,13082,14256,14163,13967,3077,3127,3289,16,16,13,111180,101653,97281
11290725,월곡2동,11290,성북구,9933,9780,9631,10338,10288,10436,3606,3929,4421,25,23,24,101334,97317,105170
11290760,장위1동,11290,성북구,10430,10259,9911,10589,10552,10401,3186,3342,3522,11,11,12,59940,53492,61785
11290770,장위2동,11290,성북구,8448,7043,6912,8401,7064,7079,2771,2472,2724,11,9,8,75714,84513,79768
11290780,장위3동,11290,성북구,5935,5846,8868,5852,5775,8997,1722,1673,2453,5,3,8,93534,114259,95326
11290810,석관동,11290,성북구,16550,17622,17641,16723,17878,18035,5702,6284,6783,24,27,23,79588,90949,94920
11305,강북구,11,서울특별시,157769,154101,151376,164616,161486,159179,56220,58739,61479,267,273,272,91179,97288,99833
11305534,삼양동,11305,강북구,14012,12860,12393,14096,12994,12438,4783,4593,4625,14,13,13,83920,93911,84721
11305535,미아동,11305,강북구,10957,10814,10724,11700,11717,11523,5285,5614,5981,32,34,32,100387,94767,109104
11305545,송중동,11305,강북구,14221,13765,14714,15293,14748,15914,5377,5580,5912,25,26,28,124516,116732,119842
11305555,송천동,11305,강북구,14603,14187,13818,14612,14348,13931,6049,6203,6385,27,26,23,88510,90423,90665
11305575,삼각산동,11305,강북구,16225,15904,15502,17397,17164,16788,2524,2538,2623,8,8,9,120304,153338,127057
11305590,번1동,11305,강북구,9745,9683,9573,9862,9748,9604,5141,5459,5640,33,33,30,95096,92235,95557
11305600,번2동,11305,강북구,8541,8402,8087,9046,8859,8565,2483,2655,2881,7,7,7,74150,92725,70717
11305606,번3동,11305,강북구,9074,8807,8361,9990,9788,9354,2069,2197,2392,8,8,11,78193,99483,97154
11305610,수유1동,11305,강북구,10899,10787,10575,11159,10973,10818,4452,4638,4810,19,18,23,88510,96451,99017
11305620,수유2동,11305,강북구,10907,10613,10308,11561,11388,11209,3204,3393,3591,18,19,17,73407,79360,80314
11305630,수유3동,11305,강북구,11936,11984,11726,11922,11998,11855,6199,6742,7165,33,35,35,101505,120010,121017
11305645,우이동,11305,강북구,10616,10417,7958,11178,10944,8184,3407,3544,3674,15,19,17,68861,82934,80774
11305660,인수동,11305,강북구,16033,15878,15349,16800,16817,16393,5247,5583,5800,28,27,27,63163,60844,65162
11320,도봉구,11,서울특별시,167465,164731,160089,174463,171967,167925,41897,44181,46140,219,220,232,97093,103940,100812
11320511,창1동,11320,도봉구,12914,12672,12185,14005,13745,13354,3368,3579,3692,15,13,15,107254,81261,100710
11320512,창2동,11320,도봉구,15380,15096,14616,15955,15638,15230,3514,3721,3860,19,20,22,80417,101554,90065
11320513,창3동,11320,도봉구,7575,7448,7212,7613,7439,7212,2439,2559,2681,11,10,14,74091,80754,79993
11320514,창4동,11320,도봉구,13803,13571,13181,14756,14529,14242,2615,2757,2912,17,20,18,218012,215119,173094
11320515,창5동,11320,도봉구,12694,12503,12159,13546,13366,13162,2454,2708,2912,18,19,19,139074,140496,132260
11320521,도봉1동,11320,도봉구,11605,11307,11016,11362,11088,10722,3917,4033,4316,23,20,22,69514,98691,90325
11320522,도봉2동,11320,도봉구,14289,14133,13736,14758,14601,14314,3793,4035,4134,13,14,14,88623,105854,101683
11320660,쌍문1동,11320,도봉구,10764,10774,10592,11386,11447,11360,2929,3080,3239,18,17,18,88584,95225,70214
11320670,쌍문2동,11320,도봉구,9864,9721,9403,10479,10369,10103,2853,2965,3133,14,12,13,94776,101101,94134
11320680,쌍문3동,11320,도봉구,8371,8304,8202,8895,8904,8692,2895,3102,3265,16,16,14,108029,72936,121258
11320681,쌍문4동,11320,도봉구,9655,9491,9237,10532,10403,10221,1502,1488,1567,10,10,11,144198,118387,114171
11320690,방학1동,11320,도봉구,15055,14918,14536,15294,15158,14749,4353,4646,4727,24,27,25,88058,118707,103418
