code,male,female,g10,g20,g30,g40,g50,g60,livingpop,workingpop,house1,house2,house3,house4,house5
11410555,8057,8796,1149,2547,3061,2825,2888,1814,16933,1839,2860,1709,1517,1170,233
11410565,9098,9815,1214,3243,2683,2626,3079,2431,17632,13933,4851,1777,1209,1019,240
11410585,8515,10541,1125,10344,3713,2142,2074,1425,19635,5298,9797,1506,797,583,142
11410615,18106,19402,2875,8916,6337,5815,5775,4437,38981,15278,10416,3737,2556,2077,551
11410620,11508,12993,1994,3212,3586,3896,4157,3260,20388,2042,3586,2468,2074,1735,410
11410640,7743,8163,1178,2217,2047,2290,2777,2328,12070,890,2723,1689,1309,1050,265
11410655,6839,7538,1146,1916,1972,2155,2627,1937,21502,1100,1821,1429,1263,1076,249
11410660,11089,11802,1858,3058,2991,3461,4095,3221,22824,7791,3217,2275,1880,1683,400
11410685,13159,14023,2309,4525,3687,4204,4680,3705,27527,5864,4919,2851,2172,1767,399
11410690,7720,8273,1472,1703,2626,3113,2205,1576,18100,4207,1425,1182,1483,1448,303
11410700,14445,15524,2510,4768,4722,4985,4459,3272,24269,1787,5004,2866,2503,2145,447
11410710,8972,9618,1975,2214,2565,3366,3019,2168,17122,1696,1620,1699,1618,1586,363
11410720,15991,16870,2561,5001,4550,5203,5576,4561,35731,3149,5645,3589,2692,2140,553
11440,176174,197446,29525,66271,67569,63151,55394,39401,302765,138540,81156,36658,28568,24268,5371
11440555,11657,13249,1625,3160,5325,4083,3818,2614,22871,18973,3211,2294,2424,1907,315
11440565,18489,20605,2522,6773,6828,5970,6840,4530,36677,5113,8931,4030,3031,2458,496
11440585,10499,11408,1680,3116,3749,3370,3589,2679,13170,9435,3644,2058,1789,1600,372
11440590,10309,11505,2000,2365,3933,4480,3013,2138,16121,12139,3250,1958,1900,1629,362
11440600,6928,7376,972,4365,2516,2170,2111,1470,8988,5799,5153,1360,831,697,140
11440610,5878,6297,1157,2301,2140,2232,1846,1193,11638,3619,2441,1200,962,830,181
11440630,11320,11977,1979,3771,3942,4016,3588,2430,13360,4736,3923,2192,1958,1693,350
11440655,11878,13062,1835,5209,4381,4178,3711,2382,14965,4819,5287,2222,1987,1749,363
11440660,11408,13573,1368,6803,5471,3844,3158,2277,18972,27069,9547,2466,1447,1030,240
11440680,8571,9859,1016,3727,3918,2733,2432,1937,17956,5506,5232,2084,1248,862,195
11440690,9874,11117,1365,3609,4119,3358,3078,2431,16778,3204,5114,2457,1462,1197,273
11440700,9006,10054,1663,2886,3058,3373,2837,2170,8014,2881,3231,2040,1440,1399,281
11440710,7379,8347,883,3568,3377,2538,2159,1818,12563,3209,5144,1696,1020,700,209
11440720,9208,10355,1517,3298,3585,3510,2882,2177,14493,5474,4376,2070,1454,1154,294
11440730,18620,22130,3599,6945,6984,6821,5801,4185,35750,2867,8317,3990,3164,2783,599
11440740,15150,16532,4344,4375,4243,6475,4531,2970,30634,16830,4355,2541,2451,2580,701
11470,224271,232709,51568,61331,60458,80850,77951,56450,446324,135994,52468,39088,38643,39063,8246
11470510,15171,16493,5157,3536,3584,7071,4991,2804,28605,15626,1606,1819,2962,3392,626
11470520,14935,15785,2651,5162,5503,4726,5086,3770,31410,5576,4806,2978,2532,2236,517
11470530,10822,11754,1564,3672,4148,3333,3778,2966,22758,2490,3731,2421,1972,1510,301
11470540,12769,13354,3492,4253,2997,4746,4897,2607,26366,2838,3017,1929,2108,2421,509
11470550,20986,21429,7643,4685,4165,9391,6733,3939,37741,27437,1670,2141,3725,5031,803
11470560,10788,10251,1383,2739,2866,3273,4090,3529,22331,2334,4445,2400,1742,1173,291
11470570,10539,10922,1816,2708,3129,3424,3436,3294,22061,3005,2443,2057,1855,1583,433
11470580,8462,7566,1187,2142,2163,2372,3116,2541,15401,1567,4020,1815,1177,821,243
11470590,9088,9422,1680,2186,2633,3076,2905,2696,20967,2005,1583,1662,1656,1533,365
11470600,7555,7662,1357,2163,2230,2388,2654,2078,19988,2887,2227,1548,1269,1064,251
11470610,6590,6745,1138,1467,2317,1981,1852,1491,6182,1046,1115,1156,1123,1058,218
11470611,10189,10566,1458,2743,2764,3071,3724,3429,20892,3695,3133,2637,1799,1307,269
11470620,10269,10764,3098,2542,2179,4175,3579,2145,20678,11167,1410,1263,1682,2301,459
11470630,9913,10291,2985,2768,1934,3917,3688,2189,17940,12222,1576,1305,1561,2152,452
11470640,22816,23975,5393,6063,6009,8365,7993,5679,45895,7246,4637,4194,3872,3943,1027
11470650,16594,17272,2374,5450,5524,5455,5706,4818,35227,7325,6991,3627,2709,2057,506
11470670,12216,12916,3696,3251,2910,4775,4382,2564,24939,17921,1057,1506,2290,2758,489
11470680,14569,15542,3496,3801,3403,5311,5341,3911,32413,6084,3001,2630,2609,2723,487
11500,282647,302273,46228,88166,102582,93524,89165,75698,569780,144229,107620,59609,46970,39512,9097
11500510,20474,21587,4579,5591,7448,7747,6045,4066,37274,17471,3931,3185,3802,3964,727
11500520,11193,12636,1428,4667,5781,3343,3073,2207,21229,7821,6777,2379,1642,1323,267
11500530,10499,10926,1681,3380,3660,3144,3577,2864,22019,5053,2769,2075,1825,1582,383
11500535,15199,16635,2230,4333,4770,4132,5607,5078,23469,11116,6000,3963,2613,1936,371
11500540,25742,27115,2670,9357,11173,7854,7887,7044,50103,4716,12725,6199,4314,2624,639
11500550,9075,9567,1541,2613,3127,3279,2958,2456,19833,1579,2939,2088,1632,1168,333
11500560,10602,11458,1668,3253,3352,3313,3487,3425,22220,5275,3381,2189,1831,1541,391
11500570,10422,10883,1445,3026,3603,3337,3600,3163,20806,2604,3697,2474,1828,1311,299
11500590,17092,17856,2574,5873,6714,5793,5040,4164,39007,3288,7343,3818,2785,2092,516
11500591,12319,12822,1733,4282,4277,3750,4094,3602,26700,11641,5718,2542,1896,1554,344
11500593,12266,13262,1702,3941,4578,4147,4000,3573,24329,1903,4594,3072,2124,1549,352
11500603,15725,18350,1990,8371,8204,4623,4268,3118,31477,4260,12467,2659,2093,1752,422
11500604,6996,7755,486,1838,2575,1498,2385,3202,15126,2858,4158,2146,1075,553,124
11500605,7402,8354,650,1919,3248,2018,2400,2658,23043,4605,3304,2415,1360,652,156
11500611,17974,19877,5127,4755,4639,7488,5747,3858,37436,3153,2875,3032,3095,3558,903
11500615,21071,22950,5523,5353,5875,8748,6576,4920,47830,6730,3887,3238,3681,4271,829
11500620,13754,13333,1750,3923,5298,4443,4171,3274,29757,32403,5700,2723,2075,1750,427
11500630,21848,22937,4301,5507,6820,7893,6702,5511,33349,6937,5002,3964,3636,3711,960
11500640,11468,11751,1544,3475,3608,3354,3801,3636,27401,3877,5612,2592,1706,1267,339
11500641,11526,12219,1606,2709,3832,3620,3747,3879,29518,6072,4741,2856,1957,1354,315
11530,200251,205244,31538,57906,69640,69788,74006,58281,397703,140201,68192,41158,32729,27843,6570
11530510,17785,18610,3557,4483,6448,6588,5232,3976,41362,14544,3051,2980,3306,3264,629
11530520,10527,10901,2019,2974,4124,3747,3141,2534,21486,4844,2270,1909,1857,1868,361
11530530,12463,12287,1699,4046,4747,5443,7988,4984,24728,13624,6282,2947,1829,1213,325
11530540,12195,11746,1522,4308,5560,4369,3598,2789,23956,51727,7672,2275,1607,1246,292
11530550,9996,10578,1307,3158,3850,4106,5448,3767,17934,1845,5195,2515,1597,1031,216
11530560,14353,15270,1793,5378,6183,4861,5734,4110,28660,13782,7120,3020,2181,1783,405
11530595,5087,4266,425,1664,2107,2412,4268,2285,9007,935,4088,1012,481,290,79
11530720,11677,11702,2059,3470,3060,3699,4073,3526,25326,8190,3059,2231,1901,1880,415
11530730,13716,13957,2354,3740,3524,4540,5069,3988,28573,3164,3845,2758,2326,2099,449
11530740,16630,16607,2435,4317,4610,4930,5815,4950,36408,5430,4949,3454,2591,2147,545
11530750,15605,16341,2426,3917,4945,4981,5060,4993,30732,7563,3251,3303,2893,2385,565
11530760,10356,10819,1552,2727,3155,3403,3686,3466,21820,2003,2687,2402,1906,1496,332
11530770,11072,11537,1292,4070,4562,3336,3280,2981,18813,3584,5892,2472,1644,1219,297
11530780,18973,20302,5023,6480,9306,9427,7569,6400,45533,4860,5875,5257,4522,4269,1205
