name,code,type,parent,male,female,onehouse,convnum,rent
대학동,11620735,dong,관악구,"14,391","9,495",11348,43,114378
삼성동,11620745,dong,관악구,"13,295","13,088",4447,7,96875
미성동,11620765,dong,관악구,"16,202","16,674",5202,21,90335
난곡동,11620775,dong,관악구,"14,796","14,387",4813,21,132216
서초구,11650,gu,서초구,"210,596","229,248",56709,558,142847
서초1동,11650510,dong,서초구,"10,244","10,941",3678,35,125777
서초2동,11650520,dong,서초구,"8,383","9,241",3243,44,193137
서초3동,11650530,dong,서초구,"14,838","15,394",4975,86,136069
서초4동,11650531,dong,서초구,"15,157","16,148",2135,37,126006
잠원동,11650540,dong,서초구,"16,491","18,155",4573,37,135606
반포본동,11650550,dong,서초구,"5,929","6,624",731,7,154215
반포1동,11650560,dong,서초구,"13,556","14,691",6080,28,189338
반포2동,11650570,dong,서초구,"11,361","12,418",1159,9,303013
반포3동,11650580,dong,서초구,"9,054","9,993",1291,8, 
반포4동,11650581,dong,서초구,"9,397","10,431",1846,42,265483
방배본동,11650590,dong,서초구,"9,915","11,392",2067,24,118396
방배1동,11650600,dong,서초구,"8,122","9,164",2791,17,135583
방배2동,11650610,dong,서초구,"12,401","13,708",3728,27,142822
방배3동,11650620,dong,서초구,"10,643","11,450",2307,17,88406
방배4동,11650621,dong,서초구,"11,734","13,743",3402,25,118764
양재1동,11650651,dong,서초구,"22,385","24,317",5826,50,146052
양재2동,11650652,dong,서초구,"11,845","11,844",4927,53,87157
내곡동,11650660,dong,서초구,"9,141","9,594",1950,12,135860
강남구,11680,gu,강남구,"261,815","285,137",87621,991,159885
신사동,11680510,dong,강남구,"8,169","9,458",2926,50,190766
논현1동,11680521,dong,강남구,"10,871","12,639",9104,83,158358
논현2동,11680531,dong,강남구,"10,382","11,759",5824,78,141326
압구정동,11680545,dong,강남구,"12,907","15,072",2935,56,179640
청담동,11680565,dong,강남구,"13,999","15,798",4302,60,159986
삼성1동,11680580,dong,강남구,"7,395","7,408",1890,57,159989
삼성2동,11680590,dong,강남구,"14,144","15,604",5544,55,183569
대치1동,11680600,dong,강남구,"12,688","12,650",566,23,220376
대치2동,11680610,dong,강남구,"20,825","20,097",2450,50,171168
대치4동,11680630,dong,강남구,"9,864","10,992",5144,66,172127
역삼1동,11680640,dong,강남구,"17,093","18,369",15817,191,160658
역삼2동,11680650,dong,강남구,"17,162","19,167",5802,56,166016
도곡1동,11680655,dong,강남구,"10,725","12,005",2478,28,181810
도곡2동,11680656,dong,강남구,"16,050","18,543",2284,24,164714
개포1동,11680660,dong,강남구,"6,361","6,749",1631,2,86971
개포2동,11680670,dong,강남구,"6,798","7,163",1146,12,114487
개포4동,11680690,dong,강남구,"9,177","9,525",2953,29,79851
세곡동,11680700,dong,강남구,"21,454","23,492",5245,22,186887
일원본동,11680720,dong,강남구,"12,228","12,641",1528,11,165450
일원1동,11680730,dong,강남구,"8,341","8,676",2996,12,105486
일원2동,11680740,dong,강남구,"7,589","8,362",1972,7,151600
수서동,11680750,dong,강남구,"7,593","8,968",3084,19,141561
송파구,11710,gu,송파구,"323,741","342,698",88247,646,129378
풍납1동,11710510,dong,송파구,"7,778","7,969",2526,9,100747
풍납2동,11710520,dong,송파구,"12,005","13,033",3692,18,80414
거여1동,11710531,dong,송파구,"6,767","6,507",1679,14,89375
거여2동,11710532,dong,송파구,"8,691","8,843",2394,12,134566
마천1동,11710540,dong,송파구,"11,005","10,537",3549,11,79070
마천2동,11710550,dong,송파구,"10,391","10,051",2975,9,95107
방이1동,11710561,dong,송파구,"8,047","8,485",1677,24,101832
방이2동,11710562,dong,송파구,"12,075","12,898",6279,38,131314
오륜동,11710566,dong,송파구,"9,470","9,852",646,13,328710
오금동,11710570,dong,송파구,"19,414","20,166",3953,36,83736
송파1동,11710580,dong,송파구,"12,356","13,659",5417,26,101590
송파2동,11710590,dong,송파구,"10,241","10,853",1438,12,143584
석촌동,11710600,dong,송파구,"16,473","17,563",7744,47,107916
삼전동,11710610,dong,송파구,"15,782","17,268",7831,36,119357
가락본동,11710620,dong,송파구,"13,879","13,994",4112,44,97354
가락1동,11710631,dong,송파구,432,448,133,5,44077
가락2동,11710632,dong,송파구,"16,888","17,480",2711,19,99824
