이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
면목5동,11260550,1069,3.6667,-17.6667,-8.333,35.667,9,-4.333,35.333,14,5,-25.667,19,25,32,202.266,11176.08,7,1,0,0,1,-1,0,0,0,0,16.7
면목본동,11260565,5607,-31,-33,209.333,141.333,52,188,66.667,44,27.6667,-170,-43,91.667,80.333,-634.154,-5662.93,30,1,0,0,0,0,-1,0,0,1,0
면목7동,11260570,25515,20,-25,-13.667,4.667,32.333,2.667,73.333,16.333,19,-105,-174.667,-8,-21,-109.227,5988.847,18,1,0,0,0,0,0,-2,0,0,0
면목3.8동,11260575,2559,27.667,-27,172.333,48.667,-29.333,47.667,61,26.667,23.3333,-63,-31.667,42,52.667,266.6038,-376.607,20,1,0,0,0,0,0,-1,0,1,0
상봉1동,11260580,36444,26.667,-39.667,17,38.667,-26.333,61,79,12.667,29.3333,-146.333,-65,16.333,57.333,-588.48,44346.59,14,2,0,0,0,0,0,0,0,0,0
상봉2동,11260590,-18855,13,-2,178.667,113.667,39.667,71,69.667,19,8.6667,-583,-99.667,13,34,-1899.69,-8738.23,36,0,0,0,0,0,-1,1,0,2,0
중화1동,11260600,12828,-17.667,-28.667,40.667,31.667,60.333,-19.333,50,13,8.6667,-77.333,-48.667,23.667,38.333,-401.25,22433.22,18,-1,0,0,0,0,0,1,1,1,0
중화2동,11260610,17126,37,-78.333,137.333,43,-35,143.667,65,32.667,28.3333,-6.333,71,158,146,-1584.69,-5352.67,20,-1,0,0,0,0,0,-1,0,1,0
묵1동,11260620,3886,-22,-33.667,4.667,-63.667,8,44,63,36.333,35.3333,-89.667,-46.333,9.333,58,-304.966,-21809.6,22,6,1,0,0,1,0,0,0,1,4.5
묵2동,11260630,-16018,-10.667,-14.667,-64.333,45,-20.667,35,39,14.333,23.3333,-39,-63.333,40.667,69.667,276.0977,368.5811,17,4,-1,0,0,0,0,1,0,0,7.1
망우본동,11260655,-9172,-40.667,-52,50,14,-28.333,68.333,93,36,25,-116,-12.333,60.333,72,-1917.35,4367.855,31,0,0,0,-1,-1,0,1,0,2,0
망우3동,11260660,-2210,22.3333,-44.333,85,17,-23.333,32.333,31.333,26.667,14.3333,-54.333,-24.333,56.667,45.6667,-463.624,-2894.92,12,0,0,0,0,0,0,0,0,0,0
신내1동,11260680,7769,-77.333,-9.333,-74.333,-56.333,-20.667,-24,154,20.333,17,-149.333,-188.333,22.667,151.333,-2695.31,-17526.5,20,-1,0,0,0,0,0,0,1,0,0
신내2동,11260690,56841,-22,-54,-24,-32.667,-18,19,62.333,32.333,18.6667,-107.667,-47.667,49.333,95,-652.093,5139.978,10,0,0,0,0,0,-1,0,0,1,0
성북동,11290525,4258,-4.6667,11.333,166,91,54.667,88.667,39,3.667,-6,-106.333,-48.333,-6.333,45.3333,18316.74,10932.96,17,0,0,0,0,0,0,0,0,0,0
삼선동,11290555,6807,-43.333,-16.333,287.333,73,-61,67.333,12.333,-21.333,33,212,128,96.333,125,-1247.42,-11696.3,32,-2,0,0,0,0,0,1,0,2,2.8
동선동,11290575,-17247,-13,37.667,696,11.667,-7,19.333,4.667,13.333,10.6667,-145,-9.667,34.6667,18,6197.785,18615.92,37,6,-1,0,0,1,0,-2,0,0,4.8
돈암1동,11290580,-6446,-45,-19,-1,-43.667,-35,12.333,7.333,32,16.3333,17,-32.333,32.333,44.333,1655.266,-7378.39,7,0,0,0,0,0,0,-1,0,0,0
돈암2동,11290590,-1350,-28.333,-13,24.333,-18.667,-35.333,36.667,34.333,-7.667,21.6667,-80.333,-74,43,35.667,2280.337,22564.56,5,-1,0,0,0,0,0,0,0,0,20
안암동,11290600,-13919,26,90.333,1648.333,203.333,24,66.333,39,9.667,18,-185.333,-32,8.6667,22,-4667.76,1552.91,47,-3,0,0,0,0,-1,2,1,1,6.1
보문동,11290610,1578,-13,12.667,132,15.667,-10.333,64,24.667,3.667,-0.6667,-51,-38.667,24,58.333,3650.548,11084.66,17,-1,-1,0,0,0,0,0,0,1,5.6
