이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,매출
창3동,11320513,80754,934,1217,1957,1923,2356,2722,2027,1322,463,2559,1672,1201,948,860.8693,13031.6,10,18,0,167,1,2,3,14,0,0,34056963
창4동,11320514,215119,2051,2937,3836,3692,4779,5021,3223,1681,837,2757,2289,2381,2505,2629.752,19614.56,20,24,6,225,2,10,8,16,5,0,37873417
창5동,11320515,140496,1760,2189,3757,3846,3790,4649,3395,1719,752,2708,2280,2345,2097,6410.272,20271.32,19,31,2,274,3,6,12,16,7,1,69214906
도봉1동,11320521,98691,1063,1346,2832,2730,3202,4013,3747,2600,891,4033,2683,1810,1234,3055.547,20000.13,20,46,9,388,6,2,11,31,2,0,68911497
도봉2동,11320522,105854,1866,1955,3545,3986,4051,4810,4684,2737,1044,4035,3092,2517,1908,1412.127,23758.99,14,32,4,224,2,0,4,11,4,2,15328720
쌍문1동,11320660,95225,1311,1905,3233,2737,3540,3814,3112,1995,707,3080,2253,1884,1499,2220.814,44022.61,17,34,0,151,5,1,5,2,2,0,43898218
쌍문2동,11320670,101101,1224,1600,2813,2981,2977,3485,2801,1597,695,2965,2194,1724,1323,1765.013,21992.44,12,22,6,225,6,7,8,20,3,0,50070186
쌍문3동,11320680,72936,930,1185,2617,2595,2603,2909,2343,1592,538,3102,1876,1414,1074,1962.893,44607.65,16,32,2,164,1,3,4,8,1,0,36744046
쌍문4동,11320681,118387,1339,2192,2735,2506,3222,3602,2564,1145,533,1488,1591,1710,1869,1319.642,18399.57,10,16,0,59,0,3,0,1,8,0,72693518
방학1동,11320690,118707,1757,2468,4331,3775,4600,5631,4360,2502,816,4646,2958,2411,2105,4247.489,35747.14,27,44,3,537,13,11,28,53,1,1,83781119
방학2동,11320700,74361,1141,1684,2934,2528,3261,4006,3143,1886,682,3713,2297,1795,1302,682.9108,29326.53,12,37,2,179,2,1,5,12,2,0,71740883
방학3동,11320710,94694,2165,3022,3772,3432,4605,5201,3935,1774,914,1795,2323,2543,2619,4504.321,21972.66,10,22,0,115,0,0,6,4,2,0,55593235
월계1동,11350560,133370,1469,1929,4313,3135,3696,3768,3078,1910,669,4328,2197,1788,1629,2917.763,9544.261,37,31,6,362,3,13,20,40,4,2,34273160
월계2동,11350570,131897,1768,2297,3112,3240,4267,4417,3996,2263,887,3865,2888,2162,1813,1467.353,41270.83,19,26,0,102,0,0,1,2,1,0,29725094
월계3동,11350580,148960,2697,2410,3790,5205,4983,4984,4474,2548,950,3669,3521,2864,2297,1470.392,22527.32,8,21,0,79,1,1,0,0,0,1,11530139
