code,name,parent,parentname,convnum,rent2018,rent2019,rent2020
11710520,풍납2동,11710,송파구,21,80414,107433,113474
11710531,거여1동,11710,송파구,12,89375,97150,97746
11710532,거여2동,11710,송파구,11,134566,136240,111590
11710540,마천1동,11710,송파구,14,79070,72130,99137
11710550,마천2동,11710,송파구,11,95107,97886,125973
11710561,방이1동,11710,송파구,20,101832,110210,129212
11710562,방이2동,11710,송파구,42,131314,135306,144311
11710566,오륜동,11710,송파구,16,328710,333684,345767
11710570,오금동,11710,송파구,43,83736,103822,104174
11710580,송파1동,11710,송파구,27,101590,109775,123838
11710590,송파2동,11710,송파구,16,143584,129176,108827
11710600,석촌동,11710,송파구,45,107916,128332,147191
11710610,삼전동,11710,송파구,37,119357,143652,142871
11710620,가락본동,11710,송파구,41,97354,127851,143558
11710631,가락1동,11710,송파구,11,44077,102804,169185
11710632,가락2동,11710,송파구,20,99824,121732,115464
11710641,문정1동,11710,송파구,13,99403,108140,102419
11710642,문정2동,11710,송파구,71,233411,231907,207509
11710646,장지동,11710,송파구,20,86205,119764,127557
11710647,위례동,11710,송파구,15,265931,215981,206886
11710650,잠실본동,11710,송파구,55,134629,167542,166724
11710670,잠실2동,11710,송파구,23,372406,543268,451144
11710680,잠실3동,11710,송파구,20,274458,128940,252070
11710690,잠실4동,11710,송파구,6,284213,448214,336928
11710710,잠실6동,11710,송파구,24,291690,212606,199164
11710720,잠실7동,11710,송파구,2,160038,0,168896
11740,강동구,11,서울특별시,399,107111,109765,125177
11740515,강일동,11740,강동구,23,260066,175627,217976
11740520,상일동,11740,강동구,15,80149,80301,124857
11740530,명일1동,11740,강동구,17,105643,126290,115613
11740540,명일2동,11740,강동구,17,103153,117438,143253
11740550,고덕1동,11740,강동구,8,74613,184567,134010
11740560,고덕2동,11740,강동구,8,99824,81687,216979
11740570,암사1동,11740,강동구,32,116120,102735,107218
11740580,암사2동,11740,강동구,11,113140,116545,134084
11740590,암사3동,11740,강동구,7,91580,95057,116392
11740600,천호1동,11740,강동구,25,98646,90920,111019
11740610,천호2동,11740,강동구,49,101158,104572,123504
11740620,천호3동,11740,강동구,27,105651,112109,144388
11740640,성내1동,11740,강동구,21,96383,106415,126344
11740650,성내2동,11740,강동구,25,111401,117569,97042
11740660,성내3동,11740,강동구,31,103780,111788,136060
11740685,길동,11740,강동구,58,118674,106628,115506
11740690,둔촌1동,11740,강동구,5,0,0,0
11740700,둔촌2동,11740,강동구,20,88007,94649,98771
