CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
광진구,11215,,11215,,11215,,11215,2,11215,2,11215,2,11215,2,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,,11215,
화양동,11215710,,11215710,,11215710,,11215710,1,11215710,1,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,,11215710,
군자동,11215730,,11215730,,11215730,,11215730,1,11215730,1,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,,11215730,
중곡1동,11215740,,11215740,,11215740,,11215740,,11215740,1,11215740,1,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,,11215740,
중곡2동,11215750,,11215750,,11215750,,11215750,,11215750,1,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,,11215750,
중곡3동,11215760,,11215760,,11215760,,11215760,,11215760,1,11215760,1,11215760,1,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,,11215760,
중곡4동,11215770,,11215770,,11215770,,11215770,,11215770,1,11215770,,11215770,1,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,,11215770,
능동,11215780,,11215780,,11215780,,11215780,,11215780,1,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,,11215780,
광장동,11215810,,11215810,,11215810,,11215810,,11215810,1,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,,11215810,
자양1동,11215820,,11215820,,11215820,,11215820,1,11215820,1,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,,11215820,
자양2동,11215830,,11215830,,11215830,,11215830,,11215830,1,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,,11215830,
