code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
11350630,10.03794328,10.012746,54091082,45546957,57404346,51668104.16,85.2,100,96,99.08912
11350640,11.7979025,9.590074,130000000,58431331,86706050,80169288.4,96,84.4,100,98.668365
11350665,9.079433666,10.2819195,43406546,22229858,30968757,36145779.12,93.3,93.7,100,99.35707
11350670,8.913748334,10.258613,45182682,39684490,27928994,33462632.76,91.7,92.3,100,99.33387
11350695,10.26537248,9.9270525,73827405,48031698,55689127,55351145,92.9,100,96.4,99.003815
11350700,9.94366691,10.7858925,88389112,87703938,30533888,50141370.97,100,100,80,99.85876
11350710,9.199842215,10.895958,63105192,23536522,14280563,38095702.84,100,88.9,100,99.96832
11350720,8.114050552,11.02067,32735135,11377287,9079070,20512143.02,100,100,100,100.09247
11350,0,0,62180063.72,42786446.63,42348536.57,41878463.78,96.00371429,96.34535211,98.03735955,99.29981
11380510,9.586690474,9.4049835,54243217,36587857,44548866,44360412.48,100,100,96.8,98.484116
11380520,9.361416001,10.413115,46448386,28191275,31842571,40712265.88,84.6,100,78.6,99.48767
11380530,9.831830817,9.666209,65003032,60170676,49211422,48330271.56,100,100,93.1,98.744156
11380551,9.536252748,10.308498,55514444,42350938,51703900,43543612.36,95.2,100,90,99.38353
11380552,9.516505391,9.685117,41367419,35142765,39718673,43223819.11,94.1,100,100,98.76298
11380560,9.733936487,9.888556,59621074,55099619,47561115,46744948.28,100,95.5,95.7,98.96549
11380570,9.874332953,9.335393,74305258,56196452,49000191,49018560.92,93.9,97.1,91.7,98.41484
11380580,10.34978663,10.258099,68752411,52472021,65676956,56718167.14,96.3,96,96,99.33336
11380590,10.72261178,11.078672,10179624,9294491,7373322,62755783.23,75,100,100,100.15021
11380600,10.49505792,9.52794,91070231,73576518,74216029,59070723.7,92.9,100,94.1,98.606514
11380625,10.02767434,9.335991,59876717,54735984,53787856,51501806.6,95.1,100,97.6,98.415436
11380631,9.614719515,10.278478,76134577,53343708,56673734,44814321.22,90,95,94.7,99.353645
11380632,9.860035291,10.59763,48263820,41932579,49395933,48787021.3,100,91.7,90,99.67135
11380640,9.957970475,10.501652,62634102,42243338,66736636,50373006.19,100,86.7,91.7,99.575806
11380650,8.849365646,11.01578,45243343,0,0,32420004.7,100,100,100,100.0876
11380690,8.547715171,9.093404,38880534,9722996,20300684,27535007.56,96.9,97.1,100,98.17395
11380,0,0,59915608.46,45869165.28,48365171.56,44495551.01,95.51344538,97.78467967,94.92433155,99.10066
11410520,8.786889334,10.570882,54699441,36500953,23695560,31408248.94,100,100,100,99.64472
11410555,9.208835287,10.9511175,42321069,43464554,26678364,38241338.71,100,100,100,100.02323
11410565,10.29978142,9.396055,74505272,67365831,59060668,55908371.18,92.6,100,96.9,98.47523
11410585,10.00440332,6.080844,77828048,61366343,44665684,51124950.4,97.6,94,100,95.175064
11410615,10.81000178,9.100815,83372158,68446332,59309545,64170997.04,97.3,94.9,97.6,98.18133
11410620,9.389582501,10.315641,63044336,33462256,34566448,41168400.66,100,100,100,99.39064
11410640,9.861673765,10.502387,91872039,72014712,44689870,48813555.12,90.9,100,100,99.57654
11410655,10.52490898,10.790154,75391002,48817910,50828632,59554138.73,100,100,100,99.863
11410660,8.515106358,10.60137,62340083,54911113,14887698,27006932.94,100,100,100,99.67507
11410685,9.107656998,10.142462,53458376,44483260,34528665,36602834.24,100,100,100,99.21825
11410690,8.311682624,10.602543,60666779,53801825,8602820,23712642.23,100,100,88.9,99.67624
11410700,9.837264379,10.030089,38899856,24177362,29745752,48418263.92,100,100,95.7,99.106384
11410710,9.557773754,10.856273,75127729,62491147,43071419,43892128.47,90,100,100,99.92882
11410720,9.712805873,9.848808,55114688,45187151,73624124,46402754.26,96.9,96.8,90.3,98.92593
11410,0,0,68259860.86,54085410.29,44975581.53,49966106.56,97.29319728,97.42090032,97.86165644,99.06146
11440555,10.59759797,9.935223,63541429,47779367,33754418,60731280.89,95.5,95.7,96,99.01195
11440565,8.897199655,9.918269,48559722,36009669,29574652,33194639.64,93.3,100,96.4,98.99507
11440585,9.897806851,10.111644,67191914,51462195,46339504,49398702.62,100,100,95.8,99.18757
