이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
방학3동,11320710,94694,2165,3022,3772,3432,4605,5201,3935,1774,914,138,1795,2323,2543,2619,10,0,4504.321198,41420.41828,0,55593235
월계1동,11350560,133370,1469,1929,4313,3135,3696,3768,3078,1910,669,99,4328,2197,1788,1629,37,2,2917.76257,24507.87327,2.7,34273160
월계2동,11350570,131897,1768,2297,3112,3240,4267,4417,3996,2263,887,145,3865,2888,2162,1813,19,0,1467.353391,27013.52773,0,29725094
월계3동,11350580,148960,2697,2410,3790,5205,4983,4984,4474,2548,950,131,3669,3521,2864,2297,8,1,1470.392395,30307.62487,0,11530139
공릉1동,11350595,113500,2476,3097,7203,6100,5768,6111,5114,2536,964,139,8132,3663,2981,2581,45,2,8120.4049,44604.3068,4.4,32965257
공릉2동,11350600,140378,3261,4909,6930,5639,7035,6241,4181,2106,874,121,5430,3104,3254,3548,37,1,7077.061309,38603.52899,2.7,49612349
하계1동,11350611,107662,1336,3947,5802,2979,4624,5161,3226,1731,858,120,4816,2347,2175,2440,21,0,5231.227029,29521.10371,0,50329286
하계2동,11350612,133134,1659,3153,3320,2699,4395,4083,2249,1330,630,78,1588,1759,2017,2367,5,1,1921.468424,23720.60709,0,0
중계본동,11350619,112986,1686,4704,3628,2051,5495,4807,2218,1147,576,80,2117,1426,1948,2776,12,0,1920.653685,25477.34887,8.3,69943707
중계1동,11350621,171461,2006,6003,3252,2101,6868,4561,1849,1007,467,55,1407,1328,2308,3333,14,0,2795.368514,28551.90006,0,59054801
중계4동,11350624,103525,1316,2575,2724,2193,3863,3679,2603,1775,710,89,2489,1963,1689,1845,14,0,2118.75409,23428.78545,0,26345060
중계2.3동,11350625,245656,2488,3638,4598,4749,6443,5854,4671,3231,1414,179,4830,3938,3199,2777,9,1,2253.411195,37298.69099,0,97267864
