NM,CD,,,,,,,,,,,,,,,,,,,,,,,,,
11,서울시 전체,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
11530720,고척1동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11530730,고척2동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11530740,개봉1동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11530750,개봉2동,,,,,,,,,,,,,,,,,1,,,,,,,,
11530760,개봉3동,,,,,,,,,,,,,,,,,1,,,,,,,,
11530770,오류1동,,,,,,,,,,,,,,,,,1,,,,,,,,
11530780,오류2동,,,,,,,,,,,,,,,,,1,,,,,,,,
11530790,수궁동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11545,금천구,,,,,,,,,,,,,,,,,2,2,,,2,,,,
11545510,가산동,,,,,,,,,,,,,,,,,1,1,,,,,,,
11545610,독산1동,,,,,,,,,,,,,,,,,,1,,,,,,,
11545620,독산2동,,,,,,,,,,,,,,,,,,1,,,1,,,,
11545630,독산3동,,,,,,,,,,,,,,,,,,1,,,1,,,,
11545640,독산4동,,,,,,,,,,,,,,,,,,1,,,1,,,,
11545670,시흥1동,,,,,,,,,,,,,,,,,,1,,,,,,,
11545680,시흥2동,,,,,,,,,,,,,,,,,,1,,,1,,,,
11545690,시흥3동,,,,,,,,,,,,,,,,,,1,,,,,,,
11545700,시흥4동,,,,,,,,,,,,,,,,,,1,,,1,,,,
11545710,시흥5동,,,,,,,,,,,,,,,,,,1,,,,,,,
11560,영등포구,,,,,,,,,,,,,,,2,,2,,2,2,,,,,
11560515,영등포본동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560535,영등포동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560540,여의동,,,,,,,,,,,,,,,,,,,1,1,,,,,
11560550,당산1동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560560,당산2동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560585,도림동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560605,문래동,,,,,,,,,,,,,,,,,1,,1,,,,,,
11560610,양평1동,,,,,,,,,,,,,,,1,,,,1,,,,,,
11560620,양평2동,,,,,,,,,,,,,,,1,,,,1,,,,,,
11560630,신길1동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560650,신길3동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560660,신길4동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560670,신길5동,,,,,,,,,,,,,,,,,,,1,,,,,,
11560680,신길6동,,,,,,,,,,,,,,,,,,,1,1,,,,,
11560690,신길7동,,,,,,,,,,,,,,,,,,,1,1,,,,,
11560700,대림1동,,,,,,,,,,,,,,,,,,,1,1,,,,,
11560710,대림2동,,,,,,,,,,,,,,,,,1,,1,1,,,,,
11560720,대림3동,,,,,,,,,,,,,,,,,1,,1,,,,,,
11590,동작구,,,,,,,,,,,,,,,,,,,2,2,2,2,,,
11590510,노량진1동,,,,,,,,,,,,,,,,,,,1,1,,,,,
11590520,노량진2동,,,,,,,,,,,,,,,,,,,1,1,,,,,
11590530,상도1동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11590540,상도2동,,,,,,,,,,,,,,,,,,,,1,,,,,
11590550,상도3동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11590560,상도4동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11590605,흑석동,,,,,,,,,,,,,,,,,,,,1,,,,,
11590620,사당1동,,,,,,,,,,,,,,,,,,,,1,1,1,,,
11590630,사당2동,,,,,,,,,,,,,,,,,,,,1,,1,,,
11590640,사당3동,,,,,,,,,,,,,,,,,,,,1,,,,,
11590650,사당4동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11590651,사당5동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11590660,대방동,,,,,,,,,,,,,,,,,,,1,1,,,,,
11590670,신대방1동,,,,,,,,,,,,,,,,,,,1,1,1,,,,
11590680,신대방2동,,,,,,,,,,,,,,,,,,,1,1,1,,,,
11620,관악구,,,,,,,,,,,,,,,,,2,2,,2,2,2,,,
11620525,보라매동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11620545,청림동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11620565,성현동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11620575,행운동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11620585,낙성대동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620595,청룡동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620605,은천동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11620615,중앙동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620625,인헌동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620630,남현동,,,,,,,,,,,,,,,,,,,,1,1,1,,,
11620645,서원동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620655,신원동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620665,서림동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620685,신사동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11620695,신림동,,,,,,,,,,,,,,,,,,,,1,1,,,,
11620715,난향동,,,,,,,,,,,,,,,,,,1,,,1,,,,
11620725,조원동,,,,,,,,,,,,,,,,,1,1,,1,1,,,,
11620735,대학동,,,,,,,,,,,,,,,,,,,,,1,,,,
11620745,삼성동,,,,,,,,,,,,,,,,,,1,,,1,,,,
11620765,미성동,,,,,,,,,,,,,,,,,,1,,,1,,,,
