NM,CD,GUBUN,2020년2분기1층,2020년1분기1층,2019년4분기1층,2019년3분기1층,2019년2분기1층,2019년1분기1층,2018년4분기1층,2018년3분기1층,20202분기1층외,20201분기1층외,2019년4분기1층외,2019년3분기1층외,2019년2분기1층외,2019년1분기1층외,2018년4분기1층외,2018년3분기1층외,20202분기전체,20201분기전체,2019년4분기전체,2019년3분기전체,2019년2분기전체,2019년1분기전체,2018년4분기전체,2018년3분기전체
11230600,답십리1동,dong,129713,150329,153618,151039,158231,122505,139888,129805,54920,54083,46073,45041,46084,50016,67425,73979,96822,106039,102289,101158,104342,93018,103656,101019
11230610,답십리2동,dong,98418,82414,91609,80272,91945,92942,86002,91415,49579,58054,51211,61566,67824,91975,94845,82710,78953,73799,77443,71896,82092,92552,89441,88674
11230650,장안1동,dong,97830,98391,100112,99729,100258,111149,115882,109207,56368,60743,54450,55415,57424,56427,54985,50481,78200,80264,76325,76658,78497,83469,87326,79844
11230660,장안2동,dong,114050,96224,106651,108339,101187,101092,93624,92359,54227,49658,51003,50929,55387,81988,83429,81341,84506,73872,79725,80245,80302,92355,88309,86850
11230705,청량리동,dong,88812,88654,91942,94351,93760,144200,128889,125911,52405,51901,52919,51579,57516,56106,54788,54619,76676,76818,77813,78210,79706,119268,115889,115349
11230710,회기동,dong,135466,134507,137805,136206,138870,169733,173777,189979,71110,67206,81492,77816,99542,125011,134863,150063,115978,110841,122299,118240,128087,158138,161569,178575
11230720,휘경1동,dong,156739,148726,115412,116248,143601,144556,167058,157088,48348,51663,46895,58732,131594,118067,108237,111406,107346,115636,95578,101869,140776,135726,143212,142241
11230730,휘경2동,dong,108469,118081,122884,117686,111380,101796,121702,115446,50864,50130,58513,70511, ,73806,89399,61863,85427,96240,105126,106678, ,95576,114011,99371
11230740,이문1동,dong,141471,126852,118351,105667,113825,121254,123859,134923,56253,71504,76285,72819,82106,76893,85225,76722,113775,110629,103328,93075,100734,104538,110800,114137
11230750,이문2동,dong,86038,92502,88713,111401,197056,206204,219200,161824,60594,32037,30202,29730,45909,48917,50141,52495,74655,62270,59458,72199,124506,120411,122594,109536
11260,중랑구,gu,95238,93783,94546,94765,93253,90570,90336,90468,53950,49362,49621,47294,50631,50656,49112,46736,78716,77354,78111,78048,78050,76167,75176,73440
11260520,면목2동,dong,89245,75998,71189,75614,74210,82122,87344,84367,38917,38579,39486,36850,37019,39734,36297,36265,72370,63525,60724,61482,61274,67765,71274,67531
11260540,면목4동,dong,71150,68950,71061,72063,67706,76314,68188,73698,51172,27801,33497,35847,38030,41258,71407,70042,63841,52682,53844,56277,56684,63460,69261,72213
11260550,면목5동,dong,71432,70552,63975,68073,72565,71496,76990,76798,40012,51357,48865,27969,26821,34396,36381,35685,58555,63354,57709,53843,56731,56979,57880,60353
11260565,면목본동,dong,95040,97154,95064,100961,93715,88108,86743,92905,51625,51678,47707,36023,36446,36286,36155,33944,78023,83240,82485,88096,82387,76592,73253,72935
11260570,면목7동,dong,116040,139059,141790,133316,126737,101222,100583,91258,49041,51855,41742,44892,40378,37059,36758,41350,95709,112695,117778,114158,105526,84539,81287,74622
11260575,면목3.8동,dong,95767,86897,89107,90810,93461,90902,94267,96337,54983,50195,61077,62486,61483,67145,43347,46317,79204,74663,80536,83805,85977,84481,75903,76975
11260580,상봉1동,dong,96036,108716,111261,117172,114677,78233,98693,102029,65375,54508,40945,47954,60819,63516,70425,58767,85156,91292,93308,93536,90740,72101,85568,81750
11260590,상봉2동,dong,109255,98433,99343,99532,91664,110519,98390,95078,62730,65290,75238,71210,74823,56461,46820,38922,88011,85422,90595,90181,86631,92811,84554,76006
11260600,중화1동,dong,79493,85220,69414,62190,61484,48656,56620,54349,47024,44424,41494,56874,75401,75232,78384,50753,65027,71153,59213,60537,66255,59097,64638,53198
11260610,중화2동,dong,103687,103485,109820,109688,114209,97083,89958,84468,46323,39360,39142,39294,43014,42957,39842,38409,80906,79558,83393,82668,84782,74013,67178,63906
11260620,묵1동,dong,119657,125195,113219,107923,100885,96999,113812,109328,57821,62118,63963,67088,59777,61152,60792,58972,90499,90789,86018,84907,78234,80612,92926,93036
11260630,묵2동,dong,84731,78054,73173,72160,74118,90136,106351,102437,75513,40522,42325,38426,38823,37088,38851,43080,81700,69524,64077,60016,60000,66114,73386,75787
11260655,망우본동,dong,84079,80079,94605,95756,102718,111890,89525,95544,56682,46512,45571,42564,45350,40500,38852,37357,72448,64084,70275,71130,76424,83530,71695,73604
11260660,망우3동,dong,68510,66780,66223,67286,66933,69143,69345,68263,35094,26897,21845,21210,23345,31351,34492,42541,57579,56507,52717,51301,51366,55733,57327,59359
11260680,신내1동,dong,99522,100616,94984,86047,90579,82810,82168,93902,61171,62827,58708,42910,43645,50875,50244,46953,81102,83439,79824,68626,69720,70036,70488,73362
11260690,신내2동,dong,128149,133999,146627,144485,168207,111366,122587,121041,53793,49224,53742,68099,121346,120932,135392,109498,89014,89845,96612,106292,141720,117106,130270,113105
11290,성북구,gu,111096,105488,105977,104251,109228,110578,108115,108971,61006,59220,64791,65773,69573,75994,73615,73407,90476,87452,90041,89835,93962,97298,94008,94707
11290525,성북동,dong,139800,133678,127279,124850,123956,119698,135268,153229,88716,84648,93322,89481,75787,86911,76825,74125,122091,121420,118593,115291,107900,107676,117481,131080
11290555,삼선동,dong,116038,108223,113199,113962,124730,117923,108725,107895,60038,53313,63015,63578,74477,78853,71090,71202,91838,87774,93204,93388,103134,100596,91141,91553
11290575,동선동,dong,171469,158931,145847,138374,140172,157419,161880,161113,69622,76127,68942,74749,74467,86614,89765,88537,126537,123534,113902,111532,114738,127707,131074,131940
11290580,돈암1동,dong,82975,83577,83862,95712,103208,109654,116899,110556,63085,73653,72862,96923,111476,125720, , ,69138,77197,76791,96317,107342,116348, , 
11290590,돈암2동,dong,115874, , , , , , , ,107082, , , , , , , ,111478, , , , , , , 
11290600,안암동,dong,134392,105593,110500,113059,125533,139452,145601,145578,58301,55863,64762,65727,89652,132194,122472,117896,96347,79236,88648,92607,111814,136963,136977,136208
11290610,보문동,dong,90104,93921,104686,97065,94935,93357,86687,92903,61543,53936,51619,52743,54608,62923,54151,53741,77436,75421,81943,78173,78804,81872,72226,76509
11290620,정릉1동,dong,99725,78144,73770,74799,82374,89997,110739,110804,59614,47349,43648,45548,61961,76124,72372,73741,89326,68419,64566,65335,74951,83691,90894,94066
11290630,정릉2동,dong,91397,95985,93805,125551,146211,159362,162479,118654,51931,63202,61097,58585,47975,50793,54512,59298,72635,80306,75964,92068,84359,85078,96499,80073
11290640,정릉3동,dong,80501,89100,103082,96305,98705,87277,74528,89240,44111,41208,94879,101373,84958,95360,49787,52812,70360,75237,100436,97994,92748,90645,63282,72847
11290650,정릉4동,dong,107430,123175,136363,130018,137973,122021,81348,84878,56538,50330,70806,78762,87531,78634,68063,79087,84165,95494,111597,115016,123746,109624,77289,82592
11290660,길음1동,dong,164501,157076,153232,149415,139858,136638,79168,98593,101508,123971,141187,153049,131833,116654,123867,130816,130755,138337,147630,150990,135845,126646,108394,118593
11290685,길음2동,dong,140956,167971,135034,133787,147536,146497,144420,141800,86025,54583,50438,49155,64370,44684,51010,52337,113040,112995,94100,97113,111377,99833,84638,82158
11290705,종암동,dong,96620,97690,102601,92221,92412,88239,83759,90320,54079,61856,74002,63177,78767,75910,103316,100074,79785,84597,90431,79489,86324,83346,91993,94478
11290715,월곡1동,dong,97281,92364,92225,96325,101653,112008,122328,118167,65203,43653,40382,44281,41592,49538,54360,50862,85570,74526,76066,79466,82730,89867,94747,90040
