"CD","NM","GUBUN","FIRST_1Y","FIRST_1Y_MOL","FIRST_1Y_DEN","FIRST_3Y","FIRST_3Y_MOL","FIRST_3Y_DEN","FIRST_5Y","FIRST_5Y_MOL","FIRST_5Y_DEN","SECOND_1Y","SECOND_1Y_MOL","SECOND_1Y_DEN","SECOND_3Y","SECOND_3Y_MOL","SECOND_3Y_DEN","SECOND_5Y","SECOND_5Y_MOL","SECOND_5Y_DEN","THIRD_1Y","THIRD_1Y_MOL","THIRD_1Y_DEN","THIRD_3Y","THIRD_3Y_MOL","THIRD_3Y_DEN","THIRD_5Y","THIRD_5Y_MOL","THIRD_5Y_DEN"
"11260690","신내2동","dong","100","1","1","100","1","1","100","1","1","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1"
"11290","성북구","gu","80","36","45","42.2","19","45","31.1","14","45","83.8","31","37","54.1","20","37","40.5","15","37","92.8","64","69","68.1","47","69","47.8","33","69"
"11290525","성북동","dong","100","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","100","2","2","50","1","2","50","1","2"
"11290555","삼선동","dong","60","3","5","40","2","5","20","1","5","100","4","4","75","3","4","50","2","4","100","6","6","66.7","4","6","50","3","6"
"11290575","동선동","dong","75","3","4","25","1","4","25","1","4","80","4","5","40","2","5","20","1","5","91.7","11","12","75","9","12","58.3","7","12"
"11290580","돈암1동","dong","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","100","1","1","0","0","1","0","0","1"
"11290590","돈암2동","dong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11290600","안암동","dong","100","5","5","0","0","5","0","0","5","71.4","5","7","42.9","3","7","28.6","2","7","92.9","13","14","78.6","11","14","42.9","6","14"
"11290610","보문동","dong","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","100","4","4","75","3","4","75","3","4"
"11290620","정릉1동","dong","100","2","2","100","2","2","100","2","2","0","0","0","0","0","0","0","0","0","100","2","2","100","2","2","50","1","2"
"11290630","정릉2동","dong","50","1","2","0","0","2","0","0","2","100","1","1","0","0","1","0","0","1","100","4","4","75","3","4","50","2","4"
"11290640","정릉3동","dong","100","1","1","100","1","1","0","0","1","100","1","1","0","0","1","0","0","1","100","3","3","66.7","2","3","66.7","2","3"
"11290650","정릉4동","dong","50","2","4","25","1","4","25","1","4","66.7","2","3","66.7","2","3","66.7","2","3","100","3","3","66.7","2","3","33.3","1","3"
"11290660","길음1동","dong","100","1","1","100","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1"
"11290685","길음2동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","0","0","1","100","1","1","100","1","1","100","1","1"
"11290705","종암동","dong","100","3","3","66.7","2","3","33.3","1","3","100","2","2","100","2","2","50","1","2","80","4","5","80","4","5","40","2","5"
"11290715","월곡1동","dong","80","4","5","80","4","5","60","3","5","75","3","4","25","1","4","25","1","4","75","3","4","75","3","4","50","2","4"
"11290725","월곡2동","dong","75","3","4","0","0","4","0","0","4","66.7","2","3","33.3","1","3","33.3","1","3","100","4","4","50","2","4","50","2","4"
