NM,CD,GUBUN,2020년2분기개업수,2020년2분기폐업수,2020년2분기개업률,2020년2분기폐업률,2020년1분기개업수,2020년1분기폐업수,2020년1분기개업률,2020년1분기폐업률,2019년4분기개업수,2019년4분기폐업수,2019년4분기개업률,2019년4분기폐업률,2019년3분기개업수,2019년3분기폐업수,2019년3분기개업률,2019년3분기폐업률,2019년2분기개업수,2019년2분기폐업수,2019년2분기개업률,2019년2분기폐업률,2019년1분기개업수,2019년1분기폐업수,2019년1분기개업률,2019년1분기폐업률,2018년4분기개업수,2018년4분기폐업수,2018년4분기개업률,2018년4분기폐업률,2018년3분기개업수,2018년3분기폐업수,2018년3분기개업률,2018년3분기폐업률
상봉2동,11260590,dong,2,0,5.6,0,0,0,0,0,0,1,0,2.9,0,1,0,2.9,1,0,2.7,0,0,0,0,0,1,2,2.8,5.6,4,2,10.8,5.4
중화1동,11260600,dong,0,2,0,11.1,2,1,10,5,1,0,5.3,0,0,2,0,11.1,2,0,10,0,0,0,0,0,1,2,5.6,11.1,2,1,10.5,5.3
중화2동,11260610,dong,3,1,15,5,1,0,5.6,0,1,0,6.3,0,0,0,0,0,2,0,13.3,0,2,3,15.4,23.1,1,0,7.1,0,0,2,0,15.4
묵1동,11260620,dong,0,1,0,4.5,1,2,4.3,8.7,1,0,4.2,0,1,0,4.3,0,0,1,0,4.5,0,1,0,4.3,2,1,8.3,4.2,0,0,0,0
묵2동,11260630,dong,0,0,0,0,0,0,0,0,1,0,6.3,0,1,0,6.7,0,0,1,0,7.1,1,0,6.7,0,1,0,7.1,0,1,1,7.7,7.7
망우본동,11260655,dong,2,2,6.5,6.5,0,1,0,3.2,2,0,6.5,0,2,2,6.9,6.9,1,0,3.4,0,0,1,0,3.6,0,1,0,3.4,1,2,3.3,6.7
망우3동,11260660,dong,1,0,8.3,0,0,0,0,0,0,1,0,9.1,1,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신내1동,11260680,dong,1,2,5,10,1,0,4.8,0,2,2,9.5,9.5,2,2,9.1,9.1,1,0,4.5,0,0,0,0,0,1,1,4.8,4.8,1,0,4.8,0
신내2동,11260690,dong,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성북구,11290,gu,15,9,4.2,2.5,7,16,2,4.5,8,10,2.3,2.8,12,13,3.4,3.6,14,15,3.9,4.2,15,13,4.2,3.6,13,12,3.7,3.4,5,11,1.4,3.1
성북동,11290525,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.7,0,2,0,12.5
삼선동,11290555,dong,0,0,0,0,0,2,0,6.3,0,1,0,2.9,0,1,0,2.8,0,1,0,2.8,3,0,8.1,0,1,4,2.9,11.8,2,1,5.4,2.7
동선동,11290575,dong,3,1,8.1,2.7,0,3,0,8.3,1,3,2.6,7.7,2,3,4.9,7.3,2,2,4.8,4.8,3,2,7.1,4.8,0,0,0,0,0,0,0,0
돈암1동,11290580,dong,1,0,14.3,0,0,0,0,0,0,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
