NM,CD,GUBUN,2018년2분기30년기준,2018년2분기10년기준,2019년2분기30년기준,2019년2분기10년기준,2020년2분기30년기준,2020년2분기10년기준
북가좌2동,11410720,dong,5.791666667,3.783333333,6.333333333,4.191666667,6.266666667,4.066666667
마포구,11440,gu,4.633333333,3.033333333,4.766666667,3.133333333,4.883333333,3.166666667
아현동,11440555,dong,4.758333333,2.8,4.791666667,2.975,4.633333333,2.808333333
공덕동,11440565,dong,4.05,3.366666667,4.325,3.441666667,4.691666667,3.416666667
도화동,11440585,dong,4.716666667,3.008333333,4.966666667,3.325,5.158333333,3.466666667
용강동,11440590,dong,4.858333333,2.766666667,5.066666667,3.075,4.875,3.241666667
대흥동,11440600,dong,4.866666667,3.083333333,5.116666667,3.275,5.233333333,3.383333333
염리동,11440610,dong,5.633333333,4.141666667,5.483333333,3.925,5.641666667,4.366666667
신수동,11440630,dong,4.441666667,3.05,4.591666667,3.041666667,4.75,3.016666667
서강동,11440655,dong,4.166666667,3.041666667,4.408333333,3.05,4.558333333,3.141666667
서교동,11440660,dong,5.15,3.141666667,5.225,3.3,5.2,3.175
합정동,11440680,dong,4.325,3.041666667,4.475,3.2,4.691666667,3.091666667
망원1동,11440690,dong,5.308333333,2.658333333,5.458333333,2.558333333,5.608333333,3
망원2동,11440700,dong,4.25,2.675,4.591666667,3.083333333,4.4,2.95
연남동,11440710,dong,3.783333333,3.058333333,3.791666667,3.141666667,4.258333333,3.341666667
성산1동,11440720,dong,4.616666667,2.233333333,4.966666667,2.691666667,5.3,3.091666667
성산2동,11440730,dong,4.7,3.183333333,4.916666667,3.383333333,5.25,3.408333333
상암동,11440740,dong,3.65,3.15,3.6,2.808333333,3.8,2.866666667
양천구,11470,gu,4.516666667,3.05,4.6,3.016666667,4.733333333,3.1
목1동,11470510,dong,4.141666667,3.541666667,4.375,3.525,4.525,3.775
목2동,11470520,dong,4.841666667,3.058333333,4.616666667,2.85,4.933333333,2.908333333
목3동,11470530,dong,4.016666667,2.633333333,4.241666667,3.033333333,4.725,3.691666667
목4동,11470540,dong,5.241666667,2.716666667,5.358333333,2.725,5.283333333,2.958333333
목5동,11470550,dong,5.008333333,3.116666667,4.841666667,2.508333333,5.183333333,2.766666667
신월1동,11470560,dong,3.625,3.075,3.9,3.425,3.966666667,3.283333333
신월2동,11470570,dong,4.466666667,2.791666667,4.166666667,2.566666667,4.841666667,2.783333333
신월3동,11470580,dong,7.883333333,4.716666667,7.966666667,4.383333333,7.7,4.325
신월4동,11470590,dong,4.641666667,2.558333333,4.383333333,2.441666667,4.375,2.816666667
신월5동,11470600,dong,2.991666667,2.375,3.008333333,2.433333333,3.066666667,2.558333333
신월6동,11470610,dong,5.1,3.2,5.433333333,3.808333333,4.741666667,2.7
신월7동,11470611,dong,5.6,2.3,5.625,2.425,5.616666667,2.575
신정1동,11470620,dong,4.275,2.633333333,4.55,2.766666667,4.625,2.55
