NM,CD,GUBUN,20182분기1층,20192분기1층,20202분기1층,20182분기1층외,20192분기1층외,20202분기1층외,20182분기전체,20192분기전체,20202분기전체
11560670,신길5동,dong,77926,76080,99342, ,34543,51505, ,66388,87105
11560680,신길6동,dong,134704,96695,102609,41644,61025,62472,84296,83220,90825
11560690,신길7동,dong,101418,106559,117875,154222,155386,100833,119899,132850,112298
11560700,대림1동,dong,85886,112057,108577,36447,47617,62224,67575,90120,91603
11560710,대림2동,dong,118731,126878,149784,83995,75924,80329,103994,106896,122915
11560720,대림3동,dong,80087,97682,95373,47203,42107,54383,66385,76357,75629
11590,동작구,gu,127102,130395,139489,85004,76142,77812,109984,110114,114405
11590510,노량진1동,dong,163272,141025,173989,118100,116270,89331,144580,129917,141091
11590520,노량진2동,dong,115939,164676,149362,136510,74003,118485,124265,131430,137312
11590530,상도1동,dong,116809,148106,117707,66891,78431,70142,91427,117020,97461
11590540,상도2동,dong,108435,146064,132651,71505,70000,79559,95477,119985,107779
11590550,상도3동,dong,172873,134293,157731,89361,65233,56433,145036,119133,125449
11590560,상도4동,dong,80353,88902,112427,53552,42825,68700,73461,79202,101495
11590605,흑석동,dong,138201,117570,135996,92584,72450,88106,115393,99796,118805
11590620,사당1동,dong,107548,117786,120344,70223,76487,69523,95258,107461,98564
11590630,사당2동,dong,180474,152933,182644,86125,97860,82601,139196,127899,139204
11590640,사당3동,dong,130842,135543,125161,96509,57080,97366,113676,102154,113555
11590650,사당4동,dong,151939,102743,175360,79550,62235,49914,129317,90983,136158
11590651,사당5동,dong,92915,69552,86960,54501,57383,64139,81617,63826,77723
11590660,대방동,dong,115822,120680,112480,52980,67025,54342,90465,97578,87563
11590670,신대방1동,dong,115816,121534,118103,157535,61850,64055,134657,95007,97747
11590680,신대방2동,dong,110308,148477,160773,48547,60494,78670,77712,117952,114540
11620,관악구,gu,123668,129783,124519,59836,74349,73453,98901,107251,104060
11620525,보라매동,dong,100775,110564,103544,40111,64083,70070,74776,91750,90155
11620545,청림동,dong,75945, ,75670,80952,220768,48426,79074, ,62048
11620565,성현동,dong,120950,84944,111480,64131,59204,58206,89791,71431,84036
11620575,행운동,dong,115005,116881,113750,52830,71513,69737,91689,98733,95964
11620585,낙성대동,dong,122840,158253,137546,80511,70181,79846,104104,131963,112459
11620595,청룡동,dong,163423,145424,130694,73502,68190,83086,137484,116907,109079
11620605,은천동,dong,144398,125185,138511,54010,51923,73335,112325,92166,112763
11620615,중앙동,dong,117149,146400,115033,47316,86639,68642,83044,124447,95480
11620625,인헌동,dong,148282,120228,139326,47465,61166,52192,119477,98224,108534
11620630,남현동,dong,117371,212269,158590,89508,95779,90447,103440,149544,121421
11620645,서원동,dong,162127,173563,155004,79949,112738,98474,119395,136215,123774
