NM,CD,GUBUN,TOT_REPOP_CO_1,TOT_WRC_POPLTN_CO_1,TOT_REPOP_CO_2,TOT_WRC_POPLTN_CO_2,TOT_REPOP_CO_3,TOT_WRC_POPLTN_CO_3,,,,면적(km),,,,,,
길음1동,11290660,dong,463.9434396,28.24038149,464.8852279,29.69948998,456.7540142,79.20306147,,,,0.76,35259.70141,2146.268993,35331.27732,2257.161238,34713.30508,6019.432672
길음2동,11290685,dong,195.7688068,27.12061237,179.2226369,27.5926857,293.5823992,9.512277447,,,,0.58,11354.5908,1572.995518,10394.91294,1600.37577,17027.77915,551.7120919
종암동,11290705,dong,276.7286845,24.95522444,273.3165761,26.98241827,269.6033993,148.1457198,,,,1.46,40402.38794,3643.462768,39904.22011,3939.433068,39362.09629,21629.27509
월곡1동,11290715,dong,326.268291,37.80813372,324.4009694,40.22949588,321.3332266,29.88740666,,,,0.81,26427.73157,3062.458832,26276.47852,3258.589167,26027.99136,2420.879939
월곡2동,11290725,dong,153.8458069,39.30153327,152.0867099,43.85714329,149.7487649,36.27197744,,,,1.36,20923.02974,5345.008525,20683.79255,5964.571487,20365.83202,4932.988931
장위1동,11290760,dong,294.4093696,12.78641786,292.0031728,14.67500255,285.0643728,18.52211952,,,,0.7,20608.65587,895.0492501,20440.2221,1027.250179,19954.50609,1296.548367
장위2동,11290770,dong,283.0155491,31.32402261,222.7567485,26.83869228,201.048336,25.59276718,,,,0.67,18962.04179,2098.709515,14924.70215,1798.192383,13470.23851,1714.715401
장위3동,11290780,dong,184.4475691,24.82107576,176.0382428,25.03206244,170.9745625,18.00922012,,,,0.65,11989.09199,1613.369924,11442.48578,1627.084059,11113.34657,1170.599308
석관동,11290810,dong,190.0412285,26.89182889,184.8770953,28.98341558,184.3302384,21.03989631,,,,1.73,32877.13253,4652.286397,31983.73749,5014.130895,31889.13125,3639.902062
강북구,11305,gu,137.5219495,15.14782959,135.2976501,15.87473586,132.9142607,11.95121909,,,,23.6,324551.8007,35748.87783,319302.4543,37464.37662,313677.6553,28204.87705
삼양동,11305534,dong,305.8832603,15.9570421,279.5869721,16.30098879,266.8609444,11.32939566,,,,0.91,27835.37669,1452.090831,25442.41446,1483.38998,24284.34594,1030.975005
미아동,11305535,dong,274.712385,31.03560537,272.6537178,36.00273851,267.9977786,22.16657969,,,,0.93,25548.25181,2886.311299,25356.79576,3348.254681,24923.79341,2061.491911
송중동,11305545,dong,274.2047711,31.52806514,267.8364891,33.90580288,278.4902287,20.7268689,,,,1.01,27694.68189,3184.334579,27051.48539,3424.486091,28127.5131,2093.413759
송천동,11305555,dong,319.2714432,36.32442494,315.285667,38.5973946,303.4899241,20.46749923,,,,0.9,28734.42989,3269.198245,28375.71003,3473.765514,27314.09317,1842.07493
삼각산동,11305575,dong,552.4354503,20.95296193,549.0538014,21.88125771,538.4944369,21.48341666,,,,0.62,34250.99792,1299.083639,34041.33569,1356.637978,33386.65509,1331.971833
번1동,11305590,dong,311.3360017,68.61888747,316.1635422,70.73396377,310.8839243,41.25206058,,,,0.66,20548.17611,4528.846573,20866.79379,4668.441609,20518.339,2722.635999
번2동,11305600,dong,180.8733484,21.11867548,176.5831453,21.29995166,170.721882,13.877699,,,,0.95,17182.9681,2006.27417,16775.39881,2023.495408,16218.57879,1318.381405
